Correlated Brain Area (DYS < TD),Correlated Brain Area (DYS < TD),Cov SP,Cov HW,Cov SP and HW,Cov READ
Correlated Brain Area (DYS < TD),Correlated Brain Area (DYS < TD).1,t(29),t(29),t(28),t(29)
Cluster 1,Bilateral frontoparietal,2.0,2.33 *,2.04,1.86
Cluster 2,Right frontoparietal,1.92,2.13 *,1.87,1.62
Cluster 3,Bilateral limbic,1.86,1.95,1.67,1.67
Cluster 4,Right limbic,1.57,1.79,1.42,1.62
Cluster 5,Left temporolimbic,1.65,1.84,1.49,1.51
Cluster 6,Left temporolimbic,2.02,2.11 *,1.92,1.73
Cluster 7,Left temporal,2.03,2.03,1.85,1.92
Cluster 8,Bilateral cerebellum,1.75,1.76,1.47,1.49
