Region(aal),Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate,F/t,Cluster number
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
ANOVA,,,,,
L Cerebellum Posterior Lobe,−12,−39,−51,6.7851,211.0
R Cerebellum Posterior Lobe,51,−60,−51,0.22507,425.0
L Inferior Temporal Gyrus,−48,−3,−48,0.23658,212.0
R Lingual Gyrus,−3,−81,−6,7.5879,314.0
L Inferior Frontal Gyrus,−27,18,−27,0.21662,281.0
L Middle Temporal Gyrus,−57,−51,3,9.2035,380.0
R Middle Frontal Gyrus,30,66,6,6.9772,248.0
R Precentral Gyrus/Superior Temporal Gyrus,54,−18,48,5.364,404.0
R Precuneus,−15,−81,54,0.21035,290.0
L Precuneus,−15,−93,36,0.18706,210.0
HC>SCD,,,,,
R Precuneus,57,−12,30,4.9182,19.0
aMCI>HC,,,,,
R Middle Frontal Gyrus,36,48,−6,3.8891,69.0
naMCI>HC,,,,,
L Middle Temporal Gyrus,−60,−51,9,4.5979,87.0
SCD>aMCI,,,,,
R Cerebellum Posterior Lobe,42,−78,−21,4.2026,24.0
naMCI>SCD,,,,,
L Middle Temporal Gyrus,−51,−48,−3,5.0983,130.0
R Superior Temporal Gyrus,57,−15,3,4.6523,50.0
R Precentral Gyrus,54,0,45,4.434,19.0
