Brain Area(AAL),Voxel Number,Maximum Difference Point MNI Coordinates,Maximum Difference Point MNI Coordinates,Maximum Difference Point MNI Coordinates,t-Value at Peak Point
Brain Area(AAL),Voxel Number,X,Y,Z,t-Value at Peak Point
Default mode network,,,,,
Precuneus,1678.0,−6,−66,60,14.5392
Middle occipital gyrus,144.0,−36,−75,18,8.9566
Middle temporal gyrus,103.0,45,3,−45,−7.3819
Medial prefrontal cortex,1957.0,6,51,39,−20.5336
Angular gyrus,268.0,−57,−60,45,−9.2211
Sensory-motor network,,,,,
Right inferior occipital gyrus,28.0,42,−78,−12,4.9046
Right supplementary motion gyrus,210.0,9,−15,36,6.6679
Left postcentral gyrus,177.0,−48,−27,66,−6.864
Right superior gyrus,73.0,21,−51,66,−4.999
Visual network,,,,,
Left midoccipital gyrus,1099.0,−24,−78,−15,11.4121
Right midoccipital gyrus,1288.0,18,−90,−9,12.0978
Calcarine fissure and surrounding cortex,443.0,−6,−51,3,−9.4966
