Domain,Function,Test
Memory,Visual Episodic Memory,Recall of Objects Test (ROT)
Memory,Verbal Memory,Rey Auditory Verbal Learning Test (RAVLT)
Attention,Sustained and Focused Attention,Continuous Performance Test (CPT)
Attention,Spatial Attention,Pair Cancellation Test (W-M)
Motor,Visio-Motor Coordination,Grooved Pegboard Test (GPT)
Perception,Visio-Perceptual Integration,Hooper Visual Organization Test (HVOT)
Language,Semantic Fluency,Categorical Fluency Test (F-A-S-Animals)
Language,Verbal Comprehension,Token Test II (NEPSY-II)
Processing Speed,Processing Speed,Symbol Digit Modalities Test (SDMT)
Executive Functions,Impulsivity/Inhibition,Stroop Color and Word Test
Executive Functions,Update,Reversal Digits Subtest
Executive Functions,Update,Matrix Analogies Test-(K-ABC-II)
Executive Functions,Flexibility/Shifting,Children’s Color Trail Test (CCTT)
Executive Functions,Decision Making,Hungry Donkey Task (HDT)
