Cluster size,Hemisphere,Brain Region,Brainnetome Altas,Peak MNI Coordinates,Peak MNI Coordinates,Peak MNI Coordinates,p value (FWE corrected)
Cluster size,Hemisphere,Brain Region,Brainnetome Altas,X,Y,Z,p value (FWE corrected)
Group Effect,Group Effect,Group Effect,Group Effect,Group Effect,Group Effect,Group Effect,
Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,
205,Left,mid-anterior OFC,lateral area 11,−20,30,−16,0.005
221,Right,IPL,caudal area 40 (PFm),58,−48,38,0.003
Left NAc core-like subdivisiona,Left NAc core-like subdivisiona,Left NAc core-like subdivisiona,Left NAc core-like subdivisiona,Left NAc core-like subdivisiona,Left NAc core-like subdivisiona,Left NAc core-like subdivisiona,
149,Right,MFG,dorsal area 9/46,30,30,32,0.027
Anhedonia Effect,Anhedonia Effect,Anhedonia Effect,Anhedonia Effect,Anhedonia Effect,Anhedonia Effect,Anhedonia Effect,
Right NAc core-like subdivisionb,Right NAc core-like subdivisionb,Right NAc core-like subdivisionb,Right NAc core-like subdivisionb,Right NAc core-like subdivisionb,Right NAc core-like subdivisionb,Right NAc core-like subdivisionb,
292,Right,Vermis,–,2,−68,−38,0.001
Interaction Effect Between Group and Anhedonia,Interaction Effect Between Group and Anhedonia,Interaction Effect Between Group and Anhedonia,Interaction Effect Between Group and Anhedonia,Interaction Effect Between Group and Anhedonia,Interaction Effect Between Group and Anhedonia,Interaction Effect Between Group and Anhedonia,
Right NAc shell-like subdivisiona,Right NAc shell-like subdivisiona,Right NAc shell-like subdivisiona,Right NAc shell-like subdivisiona,Right NAc shell-like subdivisiona,Right NAc shell-like subdivisiona,Right NAc shell-like subdivisiona,
143,Left,sgACC/pgACC,subgenual area 32,−6,34,2,0.025
Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,Right NAc core-like subdivisiona,
132,Right,precuneus,area 31 (Lc1),4,−58,18,<0.001
