Abbreviation,ROI name,Abbreviation.1,ROI name.1
FRO: frontal lobe,FRO: frontal lobe,FRO: frontal lobe,FRO: frontal lobe
PreCG,Precentral gyrus,MFG,Middle frontal gyrus
ORBmid,Orbitofrontal cortex (middle),IFGoperc,Inferior frontal gyrus (opercular)
ROL,Rolandic operculum,SMA,Supplementary motor area
SFGmed,Superior frontal gyrus (media),ORBsupmed,Orbitofrontal cortex (medial)
REC,Rectus gyrus,,
INS: insula,INS: insula,INS: insula,INS: insula
INS,Insula,,
LIM: limbic system,LIM: limbic system,LIM: limbic system,LIM: limbic system
DCG,Middle cingulate gyrus,PCG,Posterior cingulate gyrus
PHG,Parahippocampal gyrus,,
SBC: subcortical structures,SBC: subcortical structures,SBC: subcortical structures,SBC: subcortical structures
AMYG,Amygdala,PUT,Putamen
PAL,Pallidum,,
OCC: occipital lobe,OCC: occipital lobe,OCC: occipital lobe,OCC: occipital lobe
CAL,Calcarine cortex,SOG,Superior occipital gyrus
MOG,Middle occipital gyrus,IOG,Inferior occipital gyrus
FFG,Fusiform gyrus,,
PAR: parietal lobe,PAR: parietal lobe,PAR: parietal lobe,PAR: parietal lobe
PoCG,Postcentral gyrus,SPG,Superior parietal gyrus
ANG,Angular gyrus,PCUN,Precuneus
TEM: temporal lobe,TEM: temporal lobe,TEM: temporal lobe,TEM: temporal lobe
TPOsup,Temporal pole (superior),MTG,Middle temporal gyrus
TPOmid,Temporal pole (middle),ITG,Inferior temporal
CER: cerebellum,CER: cerebellum,CER: cerebellum,CER: cerebellum
II-Cb,Crus II of cerebellar hemisphere,IX-Cb,Lobule IX of cerebellar hemisphere
X-Cb,Lobule X of cerebellar hemisphere,,
VER: vermis,VER: vermis,VER: vermis,VER: vermis
I-II-VER,"Lobule I, II of vermis",III-VER,Lobule III of vermis
IV-V-VER,"Lobule IV, V of vermis",VI-VER,Lobule VI of vermis
VII-VER,Lobule VII of vermis,VIII-VER,Lobule VIII of vermis
IX-VER,Lobule IX of vermis,X-VER,Lobule X of vermis (nodulus)
