Region,x,y,z,Cluster Size,T,Z
ADT patients > control patients,ADT patients > control patients,ADT patients > control patients,ADT patients > control patients,ADT patients > control patients,ADT patients > control patients,ADT patients > control patients
Left Amygdala,Left Amygdala,Left Amygdala,Left Amygdala,Left Amygdala,Left Amygdala,Left Amygdala
Left Hippocampus,− 21,− 33,0,8,4.13,3.85
Right Hippocampus,18,− 33,0,14,3.69,3.48
Left IFG (Pars Opercularis),Left IFG (Pars Opercularis),Left IFG (Pars Opercularis),Left IFG (Pars Opercularis),Left IFG (Pars Opercularis),Left IFG (Pars Opercularis),Left IFG (Pars Opercularis)
Left Cerebellum,− 21,− 90,− 36,9,4.31,4.00
Left Hippocampus,Left Hippocampus,Left Hippocampus,Left Hippocampus,Left Hippocampus,Left Hippocampus,Left Hippocampus
Left inferior frontal gyrus (insula),− 27,12,− 18,6,3.97,3.72
Left Paracentral lobule,Left Paracentral lobule,Left Paracentral lobule,Left Paracentral lobule,Left Paracentral lobule,Left Paracentral lobule,Left Paracentral lobule
Right posterior cingulate,9,− 60,24,6,3.75,3.54
,3,− 42,27,10,3.66,3.46
Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus
Right postcentral gyrus,21,− 30,66,7,3.63,3.43
Right superior frontal gyrus,3,48,36,6,3.39,3.22
Left Thalamus (ventral lateral),Left Thalamus (ventral lateral),Left Thalamus (ventral lateral),Left Thalamus (ventral lateral),Left Thalamus (ventral lateral),Left Thalamus (ventral lateral),Left Thalamus (ventral lateral)
Left middle frontal gyrus,− 36,60,− 9,29,4.77,4.37
Right middle frontal gyrus,33,63,9,27,4.70,4.31
Left fusiform gyrus,− 33,− 36,− 18,11,4.59,4.23
Right superior temporal gyrus,57,12,− 12,7,3.85,3.62
Right cerebellum,6,− 48,− 48,21,3.64,3.45
Left cerebellum,− 6,− 48,− 48,,3.59,3.40
Right cerebellum,18,− 51,− 48,,3.53,3.35
Right cerebellum,24,− 45,− 18,7,3.55,3.37
Left Thalamus (lateral geniculate),Left Thalamus (lateral geniculate),Left Thalamus (lateral geniculate),Left Thalamus (lateral geniculate),Left Thalamus (lateral geniculate),Left Thalamus (lateral geniculate),Left Thalamus (lateral geniculate)
Left inferior frontal gyrus,− 12,30,− 21,9,3.67,3.47
Right Paracentral lobule,Right Paracentral lobule,Right Paracentral lobule,Right Paracentral lobule,Right Paracentral lobule,Right Paracentral lobule,Right Paracentral lobule
Right cuneus,3,− 93,6,19,4.49,4.14
,3,− 87,18,,4.48,4.14
Left cuneus,− 3,− 93,3,6,4.27,3.97
Left middle frontal gyrus,− 30,− 3,63,10,3.97,3.72
Right middle frontal gyrus,24,− 9,63,9,3.71,3.50
Right Precentral gyrus,Right Precentral gyrus,Right Precentral gyrus,Right Precentral gyrus,Right Precentral gyrus,Right Precentral gyrus,Right Precentral gyrus
Left paracentral lobule,− 3,− 33,72,11,4.27,3.97
Right paracentral lobule,3,− 36,72,9,3.57,3.38
Right paracentral lobule,6,− 48,69,9,3.47,3.29
Right Thalamus (ventral lateral),Right Thalamus (ventral lateral),Right Thalamus (ventral lateral),Right Thalamus (ventral lateral),Right Thalamus (ventral lateral),Right Thalamus (ventral lateral),Right Thalamus (ventral lateral)
Left fusiform gyrus,− 33,− 36,− 18,6,4.40,4.08
Right superior frontal gyrus,30,66,6,15,4.11,3.83
Left middle frontal gyrus,− 36,60,− 6,16,4.02,3.76
Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate)
Right middle frontal gyrus,30,66,9,11,4.78,4.37
Left middle frontal gyrus,− 27,36,− 15,9,3.74,3.53
Left middle frontal gyrus,− 27,63,15,7,3.63,3.44
Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal)
–,–,–,–,–,–,–
Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients
Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus,Left Precentral gyrus
Right inferior frontal gyrus,63,9,24,11,4.33,4.02
Right IFG (Pars Opercularis),Right IFG (Pars Opercularis),Right IFG (Pars Opercularis),Right IFG (Pars Opercularis),Right IFG (Pars Opercularis),Right IFG (Pars Opercularis),Right IFG (Pars Opercularis)
Left middle temporal gyrus,− 63,− 51,6,10,4.59,4.23
Right cerebellum,54,− 84,− 33,7,3.60,3.41
Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate),Right Thalamus (lateral geniculate)
Left insula,− 36,3,12,7,4.07,3.80
Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal),Right Anterior Cingulate Cortex (subcallosal)
Right Insula,54,− 57,− 39,12,4.04,3.78
Right cerebellum,36,− 78,− 33,12,3.99,3.74
