Col → Row,PVN,SVN,AN,SMN,aDMN,pDMN,SN,DAN,lWMN,rWMN
PVN,–,−5.849**,0.418,2.436,2.338,−1.974,0.263,−2.967*,1.707,0.884
SVN,3.116*,–,2.003,1.598,3.838*,−1.034,0.202,−2.030,1.443,1.962
AN,1.248,−3.752**,–,2.517,2.237,−1.969,−0.965,−0.517,1.896,−0.138
SMN,1.295,−3.159*,1.676,–,3.053*,−2.897*,−1.789,−0.669,1.902,1.082
aDMN,1.831,−5.127**,1.770,0.826,–,2.050,−0.109,−3.858**,1.697,2.506
pDMN,2.551,−5.688**,2.103,1.949,−1.043,–,0.478,5.481**,1.610,1.346
SN,1.327,−4.287**,1.598,1.934,−1.197,1.998,–,−3.591**,1.686,−0.22
DAN,2.539,−4.695**,1.133,2.188,−1.200,1.005,0.841,–,2.606,1.382
lWMN,2.64,−4.58**,0.950,1.427,−2.226,2.010,1.246,−5.848**,–,0.495
rWMN,1.591,−4.974**,2.081,1.937,−3.713**,3.401*,2.804*,−5.546**,1.877,–
