Unnamed: 0,Z statistics,x,y,z,voxels
SCST,,,,,
Cluster 1,3.18,-8.0,-74.0,-16.0,1561.0
Local maxima,,,,,
Lingual gyrus,3.18,-8.0,-74.0,-16.0,
Occipital fusiform gyrus,3.11,-36.0,-68.0,-14.0,
Lingual gyrus,3.04,-12.0,-74.0,-18.0,
Lingual gyrus,2.97,-6.0,-62.0,-4.0,
Lingual gyrus,2.96,16.0,-70.0,-12.0,
Occipital fusiform gyrus,2.95,30.0,-66.0,-8.0,
Cluster 2,3.21,28.0,-74.0,22.0,958.0
Local Maxima,,,,,
Lateral occipital cortex,3.21,28.0,-74.0,22.0,
Lateral occipital cortex,3.08,22.0,-76.0,26.0,
Lateral occipital cortex,2.94,-10.0,-86.0,42.0,
Occipital pole,2.93,-24.0,-94.0,16.0,
Occipital pole,2.89,-8.0,-96.0,22.0,
Lateral occipital cortex,2.87,10.0,-82.0,46.0,
SCST > Controls,,,,,
Cluster 1,3.13,-8.0,-60.0,-4.0,798.0
Local Maxima,,,,,
Lingual gyrus,3.13,-8.0,-60.0,-4.0,
Cerebella right V,3.09,14.0,-48.0,-20.0,
Cerebella right V,2.97,0.0,-64.0,-10.0,
Occipital fusiform gyrus,2.91,-26.0,-64.0,-14.0,
Occipital fusiform gyrus,2.84,26.0,-44.0,-22.0,
Lingual gyrus,2.8,-30.0,-68.0,-12.0,
Cluster 2,3.11,6.0,-74.0,-6.0,280.0
Local Maxima,,,,,
Lingual gyrus,3.11,6.0,-74.0,-6.0,
Lingual gyrus,2.96,14.0,-70.0,-8.0,
Lingual gyrus,2.79,28.0,-54.0,4.0,
Occipital fusiform gyrus,2.78,32.0,-62.0,-2.0,
Lingual gyrus,2.76,16.0,-62.0,-10.0,
Occipital fusiform gyrus,2.74,26.0,-64.0,-10.0,
