Seed ROI,Connected region,t‐value,p‐value
L‐BA1,R‐BA41,2.406,0.02
L‐BA2,L‐BA41,2.067,0.044
L‐BA2,R‐BA41,3.271,0.002
L‐BA2,R‐BA43,2.335,0.023
L‐BA3,L‐BA35,2.295,0.026
L‐BA3,R‐BA41,3.339,0.002
L‐BA3,R‐BA42,2.81,0.007
L‐BA3,R‐BA48,2.124,0.038
R‐BA1,L‐BA41,2.171,0.034
R‐BA1,R‐BA42,2.807,0.007
R‐BA2,L‐BA17,2.964,0.005
R‐BA2,L‐BA18,2.402,0.02
R‐BA2,R‐BA38,2.12,0.039
R‐BA2,R‐BA41,2.092,0.041
R‐BA3,L‐BA17,2.386,0.021
R‐BA3,L‐BA41,2.255,0.028
R‐BA3,L‐BA18,2.729,0.009
R‐BA3,R‐BA36,2.028,0.047
R‐BA3,R‐BA41,2.369,0.021
R‐BA3,R‐BA43,2.162,0.035
R‐BA3,L‐AAL95,2.729,0.009
