Unnamed: 0,Brain Regions,"MNI (x,y,z)",Cluster Size (Voxels),T Value,p Value
Patients > HCs,Patients > HCs,Patients > HCs,Patients > HCs,Patients > HCs,Patients > HCs
,R HIP-ParaHip,"36, −48, 3",80,5.82,6.828 × 10−8
,B SMA,"9, 0, 75",109,4.69,6.054 × 10−6
ALFF,L HIP-ParaHip,"−27, −33, −9",54,5.66,1.324 × 10−7
,R insula,"36, 6, −15",45,5.20,8.375 × 10−7
,R caudate nucleus,"12, 9, 18",55,5.05,1.513 × 10−6
,L cerebellum,"−15, −45, −45",219,5.53,2.235 × 10−7
Patients < HCs,Patients < HCs,Patients < HCs,Patients < HCs,Patients < HCs,Patients < HCs
ALFF,R cerebellum,9 −90 −27,49,−5.01,1.741 × 10−6
,Bilateral posterior cingulate,0 −27 21,45,−5.42,3.537 × 10−7
