Node,MNI coordinate (mm),MNI coordinate (mm).1,MNI coordinate (mm).2,Lobe,Degree
L Visual Assoc (18),−36,−84.2,−3.9,Occipital,37
L Visual BA 19,−31.6,−87.2,12.5,Occipital,33
R Visual Assoc (18),7.8,−88.6,11.9,Occipital,33
R Visual Assoc (18),23.7,−96,6.5,Occipital,32
R Cerebellum,7.1,−53.7,−34.4,Cerebellum,31
L Visual Assoc (18),−22.3,−96.6,−10.1,Occipital,30
L Cerebellum,−8,−68.4,−19.9,Cerebellum,30
R Visual Assoc (18),17.9,−83.4,−11.3,Occipital,27
L Visual Assoc (18),−14.7,−84,−13.1,Occipital,27
L Visual Assoc (18),−10.8,−98.1,7.6,Occipital,26
