Contrast Name,Contrast Name,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,MNI Coordinates,MNI Coordinates,MNI Coordinates
ROI-seed,Unnamed: 1_level_1,Region label,Extent,t-value,X,y,z
PoG_L_1,Positive,Tha_L_8,21,4.7168,−18,−18,0
,,Tha_R_2,13,4.6085,15,−6,6
,Negative,PoG_L_3,47,−6.1465,−60,−15,30
,,PoG_R_1,12,−4.7988,48,−21,57
PoG_L_2,Positive,INS_L_6,50,5.4193,−33,0,15
,,Tha_R_2,117,5.1319,15,−6,6
,,Tha_R_5,117,4.4707,9,−30,3
,,Tha_L_8,61,4.4567,−15,−18,9
,Negative,MTG_L_1,75,−5.9152,−63,−36,−6
,,PoG_L_3,67,−4.8182,−57,−15,30
,,MTG_R_4,42,−4.8052,63,−3,−15
,,SFG_L_3,36,−4.7037,−12,57,27
,,PoG_R_1,15,−4.5723,48,−21,57
,,PCun_L_3,33,−4.5277,−18,−75,27
,,PCun_R_3,20,−4.5268,21,−69,30
,,OrG_L_6,17,−4.2139,−48,30,−12
,,LOcC_R_1,21,−4.1363,30,−81,9
,,MTG_R_1,10,−4.026,69,−24,−12
PoG_R_2,Negative,MVOcC_R_5,20,−5.348,9,−75,30
,,PoG_L_1,40,−5.0868,−54,−6,21
,,PCun_L_3,20,−4.8597,−18,−75,27
PoG_L_3,Positive,MFG_R_4,11,4.2102,36,51,21
,,Tha_L_5,29,4.8051,−12,−9,9
,,Tha_R_8,28,4.8348,12,−9,9
,Negative,PoG_L_2,35,−4.7809,−60,−15,27
