Region,Contrast,Seed region,Cluster size (voxels),MNI centroid coordinates [x y z],Maximum t-score
mPFC,ECPs > LCPs,PCC,789,[−2 72 12],13.71
Right angular gyrus,ECPs > LCPs,PCC,481,[46 −68 26],8.14
Precuneus,ECPs > LCPs,PCC,431,[0 −64 18],9.73
Left angular gyrus,ECPs > LCPs,PCC,257,[−54 −62 18],14.75
Left medial temporal lobe,ECPs > LCPs,PCC,237,[−58 −6 −24],7.94
Left superior frontal gyrus,ECPs > LCPs,PCC,212,[−18 60 26],7.91
Left medial frontal lobe,ECPs > LCPs,PCC,173,[−46 16 56],8.71
Cingulate gyrus,ECPs > LCPs,PCC,150,[−16 −42 26],18.9
Left angular gyrus,LCPs > ECPs,PCC,428,[−32 −54 26],16.29
mPFC,ECPs > LCPs,mPFC,384,[2 70 6],10.99
Left anterior insula,ECPs > LCPs,mPFC,378,[−26 14 −24],8.87
Right anterior insula,ECPs > LCPs,mPFC,241,[26 18 −20],9.36
Left medial frontal lobe,ECPs > LCPs,mPFC,160,[−44 16 56],9.62
Left angular gyrus,ECPs > LCPs,mPFC,134,[−56 −58 18],10.19
Left superior frontal gyrus,ECPs > LCPs,mPFC,111,[−4 68 28],8.96
Right medial temporal lobe,ECPs > LCPs,mPFC,108,[68 −12 −8],6.15
Anterior cingulate,LCPs > ECPs,mPFC,233,[22 44 10],7.2
Right superior frontal gyrus,LCPs > ECPs,mPFC,161,[22 42 52],6.55
