Finding,Replicated?
Fraction time,Replicated
Age-associated increases in fraction time in the between-network connectivity state,Replicated
Mean dwell time,Replicated
Age-associated increases in mean dwell time in the between-network connectivity state,Replicated
Number of transitions,Observed only in the discovery cohort
Age-associated increases in brain state transitions,Observed only in the discovery cohort
Global efficiency variance,Replicated
Age-associated increases in global efficiency variance,Replicated
Local efficiency variance,Observed only in the replication cohort
Age-associated increases in local efficiency variance,Observed only in the replication cohort
