Author (years),Migraine types,Patients,Patients,Disease,Disease,Health control,Health control,Unnamed: 8_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,Number (M/F),Age,Duration (years),Attacks (month),Number (M/F),Age,Unnamed: 8_level_1
Zhao et al. (???),MWoA,Total:40 (12/28),30.5 ± 10.8,10.15 ± 7.01???,,20 (5/15),28.4 ± 8.9,
,,ST:20 (5/15),27.12 ± 8.18,4.05 ± 1.64???,4.5 ± 3.5,,,
,,LT:20 (7/13),37.52 ± 10.2,16.25 ± 1.47???,5.38 ± 5.8,,,
Zhao et al. (???),MWoA,19 (0/19),21.8 ± 2.3,9.1 ± 2.6,,20 (0/20),22.4 ± 3.1,
Zhang et al. (???),Migraine,MWoA:23 (6/17),34 ± 8,9 ± 7,5.9 ± 9.4,25 (10/15),35 ± 8,
,,MWA:12 (3/9),32 ± 9,8 ± 6,2.5 ± 1.3,,,
Zhang et al. (???),MWoA,30 (8/22),41.0 ± 10.4,9.6 ± 6.83,3.3 ± 2.7,31 (9/22),42.0 ± 10.3,
Meylakh et al. (???),Migraine,26 (4/22),30.6 ± 2.1,14.56 ± 2.22,2.63 ± 0.64,78 (12/66),30.7 ± 1.3,
Chen et al. (???),MWoA,IEM:19 (5/14),42.0 ± 11.0,9.37 ± 3.62,1.56 ± 0.61,31 (13/18),49.77 ± 13.69,
,,FEM:20 (4/16),38.0 ± 12.01,9.80 ± 3.61,5.82 ± 2.06,,,
,,CM:17 (9/8),49.59 ± 14.64,7.41 ± 3.20,25.15 ± 6.87,,,
Li et al. (???),MWoA,72 (15/57),21.30 (20.89; 21.73),66.75 (32.19–101.31),5.89 (2.62–9.16),46 (12/34),21.21 (20.98;21.50),
Liu et al. (???),MWoA,37 (6/31),37.97 ± 9.82,16.19 ± 12.81,,15 (2/13),34.88 ± 6.66,
Lei and Zhang (???),Migraine,22 (5/17),33.32 ± 10.27,,,22 (6/16),34.59 ± 7.99,
The technique details and main findings.,The technique details and main findings.,The technique details and main findings.,The technique details and main findings.,The technique details and main findings.,The technique details and main findings.,The technique details and main findings.,The technique details and main findings.,The technique details and main findings.
Author (years),Diagnose criteria,Study,MRI scanner,Corrections,Main findings,,,
Zhao et al. (???),IHS,ReHo,3.0T,FDR,"Increased: bilateral thalamus, IFG, MOG, left insula, caudate, MFG, MTG, IOG, right ACC, MeFG, superior temporal gyrus, bilateral ACC, amygdala, thalamus, caudate, lentiform nucleus, uncus, SFG, temporal pole, cerebellum, brain stem, left hippocampus",,,
,,,,,"Decreased: bilateral MFG, MTG, left lingual gyrus, right MOG, cerebellum, brain stem, bilateral ACC, insula, IFG, MFG, MeFG, SFG, MTG, MOG, cuneus, IPL, postcentral gyrus, precuneus, left fusiform gyrus, right PCC",,,
Zhao et al. (???),IHS,ReHo,3.0T,FDR,"Increased: thalamus, putamen, brainstem, cingulate cortex, inferior parietal gyrus hippocampus, OFC, and the occipital cortex",,,
,,,,,"Decreased: putamen, brainstem, thalamus, temporal cortex, and cerebellum, OFC, secondary somatosensory cortex",,,
Zhang et al. (???),ICHD-III beta,ReHo,3.0T,Alphasim,Increased: right occipital lobe,,,
,,,,,"Decreased: right thalamus, right putamen, right frontal lobe, right hippocampus, right cerebellum, brainstem",,,
Zhang et al. (???),ICHD-II,ReHo,3.0T,FWE,Decreased: bilateral S1 and the right PMC,,,
Meylakh et al. (???),ICHD-III beta,ReHo,3.0T,FDR,"Increased: PAG, hypothalamus, and somatosensory thalamus",,,
Chen et al. (???),ICHD-III,ReHo,3.0T,FDR,"Increased: bilateral thalami, right central anterior gyrus, left central posterior gyrus, right insular lobe, right sacral gyrus, bilateral central posterior gyri, right middle temporal gyrus, left olfactory cortex, right hippocampus, parahippocampal gyrus, suboccipital gyrus, cuneus, occipital gyrus",,,
,,,,,"Decreased: bilateral prefrontal cortex, left angular gyrus, bilateral anterior cingulate cortex, prefrontal cortex, putamen and right supplementary motor area, bilateral prefrontal cortex, precuneus, putamen, anterior cingulate cortex",,,
Li et al. (???),ICHD-II,ReHo,3.0T,FWE,Increased: bilateral MRN,,,
,,,,,"Decreased: right middle occipital gyrus, inferior occipital gyrus,left middle occipital gyrus",,,
Liu et al. (???),ICHD-III,ReHo,3.0T,FWE,Decreased: cerebellum,,,
Lei and Zhang (???),ICHD-III,ReHo,3.0T,GRF,Increased: bilateral paracentral lobule,,,
,,,,,"Decreased: bilateral ACC, cuneus, and lingual gyrus",,,
