Excluded studies,Volume (mm3),Coordinate (MNI),Coordinate (MNI),Coordinate (MNI),ALE value,z values,Brain regions
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1
Zhao et al. (???),752,−10,−24,2,1.70 × 10−2,5.24,Left thalamus
Zhao et al. (???),608,6,−30,−44,1.65 × 10−2,4.72,Brainstem
,560,−10,−24,2,1.70 × 10−2,4.85,Left thalamus
Zhang et al. (???),560,−10,−24,2,1.70 × 10−2,4.83,Left thalamus
Zhang et al. (???),600,6,−30,−44,1.65 × 10−2,4.7,Brainstem
,560,−10,−24,2,1.70 × 10−2,4.83,Left thalamus
Meylakh et al. (???),600,6,−30,−44,1.65 × 10−2,4.72,Brainstem
Chen et al. (???),672,6,−30,−44,1.64 × 10−2,5.03,Brainstem
Li et al. (???),592,6,−30,−44,1.65 × 10−2,4.71,Brainstem
,560,−10,−24,2,1.70 × 10−2,4.84,Left thalamus
Liu et al. (???),600,6,−30,−44,1.65 × 10−2,4.68,Brainstem
,560,−10,−24,2,1.70 × 10−2,3.59,Left thalamus
Lei and Zhang (???),600,6,−30,−44,1.65 × 10−2,4.7,Brainstem
,560,−10,−24,2,1.70 × 10−2,4.83,Left thalamus
