Characteristic,HC (n = 20),CI (n = 22),* p Value
Optic disc area,2.058 ± 0.542,1.956 ± 0.375,0.484
Mean C/D,0.568 ± 0.132,0.550 ± 0.112,0.647
Vertical C/D,0.512 ± 0.150,0.505 ± 0.108,0.86
Optic cup size,0.242 ± 0.218,0.194 ± 0.165,0.428
RNFL,94.475 ± 8.076,94.250 ± 10.689,0.599
Angiography 3 mm × 3 mm,Angiography 3 mm × 3 mm,Angiography 3 mm × 3 mm,Angiography 3 mm × 3 mm
Intra-layer VD,18.300 ± 2.713,17.757 ± 2.671,0.518
Completed VD,17.090 ± 2.661,16.502 ± 2.510,0.467
Central PD,0.132 ± 0.047,0.122 ± 0.045,0.470
Intra-layer PD,0.332 ± 0.046,0.322 ± 0.0453,0.468
Completed PD,0.310 ± 0.046,0.308 ± 0.053,0.398
FAZ area,0.267 ± 0.083,0.307 ± 0.246,0.555
FAZ perimeter,2.296 ± 0.319,2.332 ± 0.583,0.804
FAZ circularity,0.625 ± 0.108,0.617 ± 0.224,0.883
Angiography 6 mm × 6 mm,Angiography 6 mm × 6 mm,Angiography 6 mm × 6 mm,Angiography 6 mm × 6 mm
FAZ area,0.216 ± 0.082,0.246 ± 0.116,0.338
FAZ perimeter,1.984 ± 0.470,2.276 ± 0.733,0.136
FAZ circularity,0.672 ± 0.086,0.614 ± 0.123,0.087
Intra-layer VD,13.563 ± 2.923,12.911 ± 3.604,0.522
Outer VD,15.100 ± 2.261,14.323 ± 3.032,0.349
Completed VD,14.448 ± 2.305,13.646 ± 3.068,0.342
Central PD,0.102 ± 0.055,0.095 ± 0.062,0.723
Intra-layer PD,0.320 ± 0.075,0.307 ± 0.081,0.594
Outer PD,0.369 ± 0.060,0.357 ± 0.069,0.545
Completed PD,0.350 ± 0.060,0.338 ± 0.069,0.573
