Unnamed: 0_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 4_level_0,Unnamed: 5_level_0
Brain region,x,y,z,F-value,Cluster size (voxels’ number)
Cerebral regions,,,,,
Temporal_Inf_L,−45,−10,−35,10.2,146
Fusiform_L,−36,−30,−26,24.6,130
Precuneus_L,−6,−70,57,11.1,62
Cingulum_Ant_L,−3,30,−1,13.1,30
ParaHippocampal_L,−14,−3,−17,12.1,30
Rolandic_Oper_L,−44,−14,14,13.0,27
Frontal_Inf_Orb_R,50,33,−7,12.0,30
Precuneus_R,3,−71,56,15.6,75
ParaHippocampal_R,18,−4,−26,12.0,32
Hippocampal_R,25,−12,−14,10.8,36
Postcentral_R,12,−45,81,15.5,63
Paracentral_Lobule_R,6,−35,79,14.8,40
Occipital_Sup_R,27,−88,24,13.1,41
Temporal_Pole_Sup_R,41,12,−22,14.8,54
Temporal_Pole_Mid_R,33,4,−35,12.8,27
Thalamus,,,,,
rostral temporal thalamus_L,−3,−9,6,10.6,42
caudal temporal thalamus_L,−15,−24,15,15.6,−
rostral temporal thalamus_R,4,−8,5,12.7,100
caudal temporal thalamus_R,9,−29,9,11.3,−
posterior parietal thalamus_R,16,−23,1,13.2,−
lateral prefrontal thalamus_R,12,−18,0,9.9,−
Cerebellar regions,,,,,
Vermis_3,1,−37,−9,12.7,26
Vermis_4_5,−2,−46,−14,9.0,33
Cerebelum_6_L,−36,−32,−29,23.3,40
Cerebelum_9_L,−6,−45,−36,10.1,26
Cerebelum_Crus1_R,46,−52,−35,10.6,46
Cerebelum_Crus2_R,53,−50,−42,12.2,53
