ROI,ROI,Paired t-test,Paired t-test
Unnamed: 0_level_1,Unnamed: 1_level_1,T-value,P-value
TSZ group (t2 vs. t1),,,
DLPFC_L,Fusiform_L,4.53,<0.001
DLPFC_L,Rolandic_Oper_L,3.74,<0.001
DLPFC_L,Frontal_Inf_Orb_R,3.97,<0.001
DLPFC_L,Precuneus_R,3.32,0.003
DLPFC_L,Caudal temporal thalamus_L???,3.19,0.004
DLPFC_L,Posterior parietal thalamus_R???,3.74,<0.001
DLPFC_L,Lateral prefrontal thalamus_R???,3.08,0.005
DLPFC_L,Cerebelum_6_L,4.38,<0.001
Temporal_Pole_Sup_R,Cerebelum_Crus1_R,3.44,0.002
DSZ group (t2 vs. t1),,,
DLPFC_L,Occipital_Sup_R,3.25,0.003
DLPFC_L,Cerebelum_6_L,3.13,0.004
DLPFC_L,Cerebelum_Crus2_R,3.39,0.002
Rostral temporal thalamus_R,Rolandic_Oper_L,3.2,0.004
