Variable,Whole sample (N = 21),Boys (N = 12),Girls (N = 9)
M ± SD (range),M ± SD (range),M ± SD (range),M ± SD (range)
Age (years),28.95 ± 4.20 (19–37),29.08 ± 4.78 (19.00–37.00),28.78 ± 3.56 (24.00–36.00)
Pre‐pregnancy BMI (kg/m2),25.57 ± 4.05 (20.03–34.42),25.92 ± 4.49 (20.03–34.42),25.10 ± 3.59 (21.05–33.06)
EPDS,4.7 ± 4.2 (0–17),3.8 ± 2.4 (0–8),5.9 ± 5.7 (1–17)
SCL‐90,3.5 ± 3.2 (0–10),3.8 ± 3.2 (0–10),3.1 ± 3.3 (0–9)
Composite score,8.2 ± 6.6 (0–26),7.7 ± 5.0 (0–17),9.0 ± 8.6 (2–26)
Frequencies,Frequencies,Frequencies,Frequencies
Maternal pre‐pregnancy BMI (kg/m2) (1 ≤ 25.00/2 = 25.00–29.99/3 ≥ 30),10/7/4,6/3/3,4/4/1
"Maternal monthly income (€) (1 ≤ 500 /2 = 501–1,000 /3 = 1,001–1,500/4 = 1,501–2,000/5 = 2,001–2,500/6 = 2,501–3,000/7 = 3,001–3,500/8 = 3,501–4,000/9 ≥ 4,000)",2/1/2/11/4/1/0/0/0,1/0/2/5/4/0/0/0/0,1/1/0/6/0/1/0/0/0
Maternal education level (1 = high school graduate or lower; 2 = college degree; 3 = university degree),5/7/9,2/3/7,3/4/2
Maternal use of alcohol during pregnancy (yes/no),3/18,2/10,1/8
Frequency of maternal use of alcohol during pregnancy (more than 1–2 times a month/1–2 times a month/less frequently),0/1/2,0/1/1,0/0/1
Maternal use of illicit substances during pregnancy (yes/no),1/20,0/12,1/8
Frequency of maternal use of illicit substances during pregnancy (more than 1–2 times a month /1–2 times a month/less frequently),0/0/1,0/0/0,0/0/1
