Brain regions/conditions,BA,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size (number of voxels),t-Value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Static VMHC,,,,,,
TAO group < HCs,,,,,,
R/L LG/CAL,18/19,27/−27,−54,−3,120.0,−4.763
R/L MOG,19/37/39,36/−36,−78,18,52.0,−4.579
R/L PoCG,3/4/43,48/−48,−15,39,71.0,−4.574
R/L SPL,7,27/−27,−57,57,48.0,−5.621
R/L IPL,40,39/−39,−48,36,41.0,−4.897
R/L PCu,7,9/−9,−69,54,55.0,−4.777
Dynamic VMHC,,,,,,
TAO group > HCs,,,,,,
R/L OFC,11/47,30/−30,57,−6,20.0,5.551
