Study,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Significant findings,Significant findings,Significant findings
Unnamed: 0_level_1,No. of subjects (females),Mean Age,Age-range,Task,Statistical Threshold and analysis method,ROI for activation analysis,Contrast,Regions,Recruitment/connectivity in DEP vs HC
???,Anxious MDD: 15 (9 F),27,18-60,Matching faces on emotion or gender,"ROI ROI: CT p < 0.05, k > = 44 CDT p < 0.05 WB: CT p < 0.05 k > = 219 CDT p < 0.01",AMG,Negative,AMG,Higher
???,Total MDD = 26 (15 F) Only MDD (without anxiety) = 12 (7 F),"Total MDD = 14.08, Only MDD = 14.2",NR,Matching faces on emotion or gender,WB and ROI Greenhouse Geiser correction,"AMG, OFC",Fearful-rated > fearful-passive,AMG,Higher
???,Total MDD = 26 (15 F) Only MDD (without anxiety) = 12 (7 F),"Total MDD = 14.08, Only MDD = 14.2",NR,Matching faces on emotion or gender,WB and ROI Greenhouse Geiser correction,"AMG, OFC",Fearful > happy passive,AMG,Lower
???,MDD = 30 (22 F),23.4,NR,Matching faces on emotion or gender,WB and ROI CT FWE p < 0.05 CDT p < 0.001,"AMG, HPC, ACC",Angry > baseline,sgACC,Higher
???,Previously depressed = 14 F,20.13,18-25,Social evaluation task,WB and ROI CT FDR p < 0.05 k by MC CDT p < 0.001,dACC,"Previously depressed females (PD) showed an increase in dACC activity over repeated bouts of social evaluation (from first evaluation to second evaluation) whereas HC exhibited a decrease. PD subjects had significantly higher dACC activity than HC at t2. They also found that (among the PD subjects) the greater the increase in dACC activity from first to second evaluation, the lower the depressive symptoms on the day of the evaluation and at the 6-month follow up.","Previously depressed females (PD) showed an increase in dACC activity over repeated bouts of social evaluation (from first evaluation to second evaluation) whereas HC exhibited a decrease. PD subjects had significantly higher dACC activity than HC at t2. They also found that (among the PD subjects) the greater the increase in dACC activity from first to second evaluation, the lower the depressive symptoms on the day of the evaluation and at the 6-month follow up.","Previously depressed females (PD) showed an increase in dACC activity over repeated bouts of social evaluation (from first evaluation to second evaluation) whereas HC exhibited a decrease. PD subjects had significantly higher dACC activity than HC at t2. They also found that (among the PD subjects) the greater the increase in dACC activity from first to second evaluation, the lower the depressive symptoms on the day of the evaluation and at the 6-month follow up."
???,MDD = 10,15.19,12-17,Matching faces on emotion or gender,WB CT p < 0.05 k by MC,WB,Happy,L Front precentral cortex,Lower
???,MDD = 10,15.19,12-17,Matching faces on emotion or gender,WB CT p < 0.05 k by MC,WB,Happy,R STG,Lower
???,MDD = 10,15.19,12-17,Matching faces on emotion or gender,WB CT p < 0.05 k by MC,WB,Happy,R PHG,Lower
???,MDD = 10,15.19,12-17,Matching faces on emotion or gender,WB CT p < 0.05 k by MC,WB,Neutral,L LOC,Higher
