Region Name,"MNI Coordinates (X, Y, Z)","MNI Coordinates (X, Y, Z)","MNI Coordinates (X, Y, Z)"
Anterior Insula,+/− 38,19,−3
Anterior Cingulate,+/− 6,28,24
Middle Cingulate,+/− 10,−7,46
Posterior Cingulate,+/− 8,− 48,39
Posterior Insula,+/− 40,− 14,1
Thalamus,+/− 8,− 21,7
Primary Somatosensory,+/− 46,−24,47
Dorsolateral Prefrontal,+/− 40,39,24
Inferior Lateral Parietal,+/− 57,−48,30
Ventromedial Prefrontal,+/− 6,36,−14
Secondary Somatosensory,+/− 52,−28,21
Somatomotor,+/− 6,1,68
Temporal Pole,+/− 41,10,−32
Amygdala,+/− 22,−1,−22
Middle Temporal,+/− 60,−26,−5
Caudate,+/− 14,13,11
Middle Occipital,+/− 34,− 72,6
Cuneus,+/− 13,− 93,9
Hypothalamus,+/− 6,−6,−12
Lingual Gyrus,+/− 19,− 64,−11
Spinal Trigeminal Nucleus,+/− 6,− 39,− 45
Precuneus,+/− 6,− 58,46
Parieto-Occipital,+/− 51,−64,18
Supramarginal Gyrus,+/− 44,− 42,24
Precentral,+/− 44,−4,40
Middle Frontal,+/− 35,6,52
Pulvinar,+/− 20,−34,3
Fusiform Gyrus,+/− 51,− 59,−9
Superior Parietal,+/− 40,−52,− 49
Dorsal Pons,+/− 6,−36,−27
Cerebellum,+/− 46,− 53,−39
Periaqueductal Gray,−1,−26,−11
