Unnamed: 0_level_0,Preterm,Preterm,t/χ2,P,Term,Term,t/χ2,P
Unnamed: 0_level_1,Included,Excluded,Unnamed: 3_level_1,Unnamed: 4_level_1,Included,Excluded,Unnamed: 7_level_1,Unnamed: 8_level_1
Demographic data,,,,,,,,
Number,34,63,,,37,31,,
Gestational age (weeks),35.93 ± 1.34,35.64 ± 0.95,1.11,0.27,40.29 ± 1.06,40.00 ± 0.80,1.04,0.3
Birth weight (kg),2.03 ± 0.41,2.03 ± 0.23,−0.05,0.96,3.27 ± 0.38,3.29 ± 0.39,−0.19,0.85
SGA infants,11/23,16/47,0.53,0.49,2/35,2/19,0.35,0.62
Delivery method (CS/VD),9/25,15/48,0.08,0.81,13/24,5/16,0.80,0.4
Twins or triplets,2/32,2/61,0.41,0.61,2/35,0/21,1.18,0.53
Gender (male/female),15/19,32/31,0.39,0.67,19/18,11/10,0.00,1.0
Days of birth (days),9.47 ± 2.02,9.48 ± 2.06,−0.01,0.99,9.62 ± 2.30,9.62 ± 1.96,0.00,1.0
PMA (weeks),37.28 ± 1.34,36.99 ± 0.95,1.10,0.28,41.66 ± 1.13,41.38 ± 0.92,0.96,0.34
Maternal factors,,,,,,,,
Antenatal steroid,6/28,4/59,3.05,0.16,0,0,,
PROM,1/33,2/61,0.00,1.0,3/34,1/20,0.23,1.0
"DM, GDM, GH or PE",2/32,2/61,0.41,0.61,0/37,1/20,1.79,0.36
Clinical data after birth,,,,,,,,
Apgar-1min,9.00 ± 1.07,9.24 ± 1.00,−1.09,0.28,9.38 ± 0.86,9.48 ± 0.51,−0.47,0.64
Apgar-5min,9.68 ± 0.48,9.83 ± 0.38,−1.57,0.12,10.00 ± 0.00,9.95 ± 0.22,1.00,0.32
Breast milk/mixed/formula,1/23/10,1/40/22,0.46,0.84,24/10/3,12/8/1,0.88,0.7
Ventilation time (hours),25.76 ± 28.36,15.81 ± 25.67,1.76,0.08,0.00 ± 0.00,2.29 ± 10.47,−1.00,0.33
Apnea,2/32,2/61,0.41,0.61,0,0,,
Sepsis,0,0,,,0,0,,
Convulsions,0,0,,,0,0,,
Hypothermia,1/33,1/62,0.20,1.0,0,0,,
