Unnamed: 0,Unnamed: 1,GA,PMA,BW
Dwell time (State I),r,0.370,0.406,0.383
,P,0.001*,0.000*,0.001*
Dwell time (State II),r,−0.109,−0.109,−0.079
,P,0.367,0.367,0.511
Dwell time (State III),r,−0.338,−0.327,−0.292
,P,0.004*,0.005*,0.014*
Dwell time (State IV),r,0.043,0.015,−0.049
,P,0.724,0.898,0.685
"Fractional windows (State I, %)",r,0.529,0.558,0.508
,P,0.000*,0.000*,0.000*
"Fractional windows (State II, %)",r,−0.114,−0.120,−0.059
,P,0.343,0.319,0.623
"Fractional windows (State III, %)",r,−0.279,−0.285,−0.219
,P,0.018*,0.016*,0.067
"Fractional windows (State IV, %)",r,−0.151,−0.169,−0.227
,P,0.209,0.158,0.057
Number of transitions,r,0.059,0.045,0.084
,P,0.627,0.712,0.485
