Unnamed: 0,NEDA (N = 14),EDA (N = 16),p???
Demographic/clinical features,Demographic/clinical features,Demographic/clinical features,Demographic/clinical features
Age,37.4 ± 6.5,36.1 ± 8.4,ns
Female/male (n),8/6,15/1,0.018
Disease duration (year),10.4 ± 5.6,10.0 ± 8.3,ns
EDSS score [median (range)],1.75 [1.5–5.0],2.0 [1.0–6.0],ns
Relapses in previous year [n (%)],4 (29),9 (56),ns
Treatment naïve [n (%)],3 (21),1 (6),ns
First-line/second-line therapy (n),8/3,12/3,ns
Radiological features,Radiological features,Radiological features,Radiological features
Brain volume (cm3),"1,464 ± 68","1,495 ± 66",ns
Gray matter volume (cm3),735 ± 48,765 ± 39,ns
T2-lesion volume (cm3),14.239 ± 12.143,6.653 ± 4.979,ns
Gadolinium-positive lesion [n (%)],5/14 (36),10/16 (62),ns
Clinical/Neuropsychological scores,Clinical/Neuropsychological scores,Clinical/Neuropsychological scores,Clinical/Neuropsychological scores
9-HPT dominant hand (s),20.4 ± 4.9,19.1 ± 3.0,ns
9-HPT non-dominant hand (s),22.3 ± 7.4,20.8 ± 4.0,ns
PASAT 3 (s),42.5 ± 13.7,45.4 ± 12.8,ns
PASAT 2 (s),35.1 ± 15,35.7 ± 12.9,ns
25-FWT (s),5.5 ± 1.2,6.5 ± 2.1,ns
