Task,Unnamed: 1_level_0,Laterality,Laterality,Laterality,p-Value*
Unnamed: 0_level_1,Unnamed: 1_level_1,Left,Bilateral,Right,Unnamed: 5_level_1
Anterior ROI,,,,,
SC,Female,15.0,6.0,1.0,0.318
,Male,19.0,3.0,3.0,
AG,Female,14.0,7.0,1.0,0.552
,Male,12.0,11.0,2.0,
SC + AG,Female,15.0,5.0,2.0,0.988
,Male,17.0,6.0,2.0,
Posterior ROI,,,,,
SC,Female,11.0,6.0,5.0,0.015
,Male,22.0,1.0,2.0,
AG,Female,11.0,8.0,3.0,0.452
,Male,17.0,6.0,2.0,
SC + AG,Female,12.0,6.0,4.0,0.412
,Male,18.0,5.0,2.0,
Global,,,,,
SC,Female,15.0,4.0,3.0,0.431
,Male,21.0,2.0,2.0,
AG,Female,11.0,9.0,2.0,0.645
,Male,15.0,7.0,3.0,
SC + AG,Female,12.0,8.0,2.0,0.298
,Male,19.0,5.0,1.0,
