Cluster size,Brain regions,L/R,BA,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Effect size,t-Values
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1,Unnamed: 8_level_1
Female > Male,,,,,,,,
1130,Inferior temporal pole,R,20,28,−8,−44,0.24,5.47
595,Inferior temporal pole,L,20,−24,−6,−42,0.21,4.3
287,Putamen,R,/,30,2,2,0.23,3.78
Male > Female,,,,,,,,
1995,Cerebellum,L,/,10,−82,−30,0.23,4.73
1027,Ventromedial prefrontal cortex,L,10,0,58,−4,0.24,5.31
,Ventromedial prefrontal cortex,R,10,2,64,−2,0.24,5.31
1235,Lingual gyrus,R,30,16,−48,4,0.25,4.43
609,ACC,R,24,6,24,12,0.24,5.38
