Unnamed: 0_level_0,Kendo player (n = 14),Kendo player (n = 14),Non-Kendo player (n = 11),Non-Kendo player (n = 11),Unnamed: 5_level_0
Variables,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,p
Age,39.9,13.0,38.8,13.2,0.836
FTND,0.3,1.1,0.2,0.6,0.776
CORE_AUDIT,7.0,5.0,7.5,7.2,0.824
IPAQ (METs. minutes/day),439.6,372.3,315.9,202.3,0.336
IPAQ (kcal/day),483.7,512.7,384.3,268.2,0.584
BMI,23.3,6.4,24.1,3.6,0.708
Auditory oddball paradigm,,,,,
Number of omission errors,0.1,0.3,0.0,0.0,0.387
Number of commission errors,0.3,0.6,0.3,0.5,0.285
Reaction time (ms),171.2,42.9,244.9,91.8,0.028*
