Items,AAL,Side,Asthma (N = 40),HC (N = 40),P-value
Asthma < HC,Asthma < HC,Asthma < HC,Asthma < HC,Asthma < HC,Asthma < HC
Orbital superior frontal gyrus,6,R,0.706 ± 0.095,0.744 ± 0.069,0.047
Supplemental motor area,20,R,0.672 ± 0.091,0.714 ± 0.095,0.050
Olfactory,21,L,0.701 ± 0.087,0.741 ± 0.078,0.032
Calcarine,43,L,0.643 ± 0.110,0.690 ± 0.068,0.025
Calcarine,44,R,0.641 ± 0.111,0.684 ± 0.070,0.040
Lingual,47,L,0.645 ± 0.100,0.692 ± 0.075,0.020
Inferior occipital gyrus,53,L,0.676 ± 0.091,0.714 ± 0.077,0.048
Fusiform,55,L,0.686 ± 0.088,0.729 ± 0.083,0.027
Superior parietal gyrus,59,L,0.671 ± 0.072,0.716 ± 0.084,0.013
Paracentral lobule,69,L,0.678 ± 0.086,0.733 ± 0.092,0.007
Paracentral lobule,70,R,0.688 ± 0.087,0.737 ± 0.079,0.010
Caudate,72,R,0.729 ± 0.092,0.775 ± 0.073,0.014
Putamen,73,L,0.699 ± 0.083,0.756 ± 0.070,0.002
Asthma > HC,Asthma > HC,Asthma > HC,Asthma > HC,Asthma > HC,Asthma > HC
Angular,65,L,0.689 ± 0.098,0.639 ± 0.105,0.033
