Cluster peak,Voxels,Size p,Size p,Unnamed: 4_level_0,Anatomical Description,Anatomical Description
"(x, y, z)",Unnamed: 1_level_1,(FDR),(unc.),Voxels,Region,% of Region
Fronto-cingulate cluster,,,,,,
"4, 30, 14","1,638",<0.001,<0.001,399.0,anterior cingulate gyrus,15
,,,,144.0,l. frontal pole,2
,,,,128.0,r. paracingulate gyrus,9
,,,,121.0,l. paracingulate gyrus,9
,,,,75.0,r. superior frontal gyrus,3
,,,,23.0,l. caudate,4
,,,,10.0,r. frontal pole,<1
,,,,8.0,l. superior frontal gyrus,<1
,,,,8.0,r. caudate,2
Left temporo-parietal cluster,,,,,,
"−44, −26, 14",479,0.015,<0.001,215.0,l. central opercular cortex,22
,,,,100.0,l. Heschl’s gyrus,32
,,,,69.0,l. insular cortex,5
,,,,66.0,l. parietal operculum,12
,,,,12.0,l. planum temporale,2
,,,,1.0,l. planum polare,<1
Right temporo-parietal cluster,,,,,,
"42, −16, 8",583,0.006,<0.001,105.0,r. insular cortex,8
,,,,103.0,r. planum temporale,23
,,,,101.0,r. central opercular cortex,12
,,,,90.0,r. parietal operculum,17
,,,,83.0,r. Heschl’s Gyrus,29
,,,,6.0,r. postcentral gyrus,<1
,,,,1.0,r. anterior supramar. gyrus,<1
