Unnamed: 0,Nn˚,Effect REGION[F p η],Least disconnected ROI (ds),Most disconnected ROI (ds),Effects TIME [F p η],Effects TIME + ΔDO80 [F p η],"Post-hoc WSRT, effect of timep < 0.05"
dDMN,9,"44.20, 0.00, 0.65",Angular R (0.018),Thalamus L (0.676),X,x,X
vDMN,10,"20.98, 0.00, 0.43",Angular R (0.063),Parahippocamp L (0.451),"Main [5.46, 0.00, 0.16]",x,"General decrease, Especially for parahippocamp R"
Language,7,"23.45, 0.00, 0.51",Frontal inf R (0.094),Temporal mid L (0.420),"Interact [3.52, 0.02, 0.13]","Interact [3.01, 0.04, 0.14]","Increase: Supramarginal, temporal mid/sup LDecrease: cereb crus I L."
LECN,6,"30.06, 0.00, 0.49",Parietal inf/angul L (0.198),Thalamus L (0.721),"Interact [3.09, 0.03, 0.09]",x,"Decrease: cereb crus I R, front mid/sup L"
RECN,6,"18.52, 0.00, 0.43",Parietal inf/angul R (0.047),Caudate R (0.517),"Interact [3.19, 0.03, 0.11]",X,"Decrease: cereb crus I/II L + vermis, caudate R, front mid/sup R"
Salience,7,"7.569, 0.00, 0.22",Insula R (0.088),Cingulate ant (0.337),x,X,x
Post-Salience,12,"93.99, 0.00, 0.81",Supramarginal R (0.045),Thalamus L (0.846),"Main [12.29, 0.00, 0.33]Interact [3.73, 0.01, 0.13]","Main [8.25, 0.01, 0.28]","General decrease, especially for cereb VI L, thalamus R"
Visuo-spatial,11,"15.59, 0.00, 0.42",Temporal inf/mid R (0.041),Frontal inf/oper L (0.343),x,x,x
High-visual,2,"42.87, 0.00, 0.57",Occipital mid/sup R (0.066),Occip mid/sup L (0.196),x,x,x
Primary visual,1,x,Calcerine/occip inf RL (0.117),x,"Main [6.85, 0.01, 0.18]","Main [5.54, 0.03, 0.17]","General decrease, especially for Thalamus L"
Basal ganglia,5,"24.33, 0.00, 0.54",Frontal inf R (0.294),Thalamus L (0.869),x,x,x
Precuneus,4,"88.28, 0.00, 0.76",Angular R (0.038),Cingul mid/post RL (0.445),x,x,x
Sensori-motor,6,"64.72, 0.00, 0.68",Central pre/post R (0.117),Thalamus L (0.837),"Main [9.76, 0.00, 0.25]","Main [6.73, 0.02, 0.21]","Decrease: Cereb IV-VI + vermis B, thalamus B, SM1 B, SMA B."
Auditory,3,"51.69, 0.00, 0.70",Temporal sup R (0.063),Thalamus R (0.532),"Main [11.72, 0.00, 0.27]Interact [6.25, 0.01, 0.17]","Main [7.16, 0.01, 0.21]","General decrease, especially for thalamus R"
