Brain regions,BA,Cluster size,Peak T value,Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate
Brain regions,BA,Cluster size,Peak T value,X,Y,Z
L. medial frontal gyrus,BA11,238.0,–4.2425,–6,57,–24
L. orbital gyrus,BA11,238.0,–4.2425,–6,57,–24
L. medial frontal gyrus,BA9,59.0,–3.5505,–6,48,24
L. superior temporal gyrus,BA38,751.0,–4.3538,–36,18,–33
L. middle temporal gyrus,BA38,751.0,–4.3538,–36,18,–33
Cerebelum_6_L,BA19,587.0,–4.2659,–45,–78,0
L. middle occipital gyrus,BA37,,,,,
L. fusiform gyrus,,,,,,
Cerebelum_6_R,BA37,475.0,–4.2873,33,–60,–24
R. fusiform gyrus,BA37,475.0,–4.2873,33,–60,–24
R. superior temporal gyrus,BA38,144.0,–3.8567,36,18,–21
R. inferior frontal gyrus,BA47,144.0,–3.8567,36,18,–21
R. superior temporal gyrus,BA22,741.0,–3.9183,63,–15,–3
R. precentral gyrus,BA13,741.0,–3.9183,63,–15,–3
R. middle temporal gyrus,BA6,741.0,–3.9183,63,–15,–3
R. lingual gyrus,BA18,79.0,–3.1644,12,–69,–6
L. cuneus,BA18,171.0,–3.3556,–9,–81,15
L. postcentral gyrus,BA3,149.0,–3.371,–42,–24,54
R. postcentral gyrus,BA3,107.0,–3.0709,42,–21,51
R. paracentral lobule,BA4,61.0,–3.0636,3,–39,66
L. postcentral gyrus,BA2,49.0,–3.2482,–21,–30,75
