Unnamed: 0,9a,9p,9/46da,9/46dp,46,9/46va,9/46vp
DLPFC,,,,,,,
9a,100.0,88.0,21.0,8.0,8.0,8.0,0.0
9p,,100.0,67.0,58.0,33.0,38.0,0.0
9/46da,,,100.0,100.0,100.0,67.0,4.0
9/46dp,,,,100.0,96.0,96.0,8.0
46,,,,,100.0,96.0,13.0
9/46va,,,,,,100.0,75.0
9/46vp,,,,,,,100.0
Frontal lobe,,,,,,,
FP,92.0,96.0,96.0,96.0,96.0,88.0,25.0
BA44,0.0,17.0,4.0,25.0,21.0,88.0,100.0
BA45,17.0,67.0,17.0,63.0,75.0,96.0,92.0
latOFC,4.0,0.0,0.0,0.0,0.0,0.0,0.0
medOFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA47,17.0,33.0,8.0,25.0,33.0,38.0,46.0
SMA,0.0,8.0,0.0,17.0,0.0,54.0,79.0
M1,0.0,4.0,0.0,13.0,4.0,79.0,96.0
Temporal lobe,,,,,,,
STG,0.0,4.0,0.0,0.0,0.0,4.0,4.0
LAT,0.0,4.0,0.0,0.0,0.0,4.0,0.0
MED,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aSTG,0.0,0.0,0.0,0.0,0.0,0.0,4.0
aMTG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aITG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aPhG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mSTG,0.0,0.0,0.0,0.0,0.0,0.0,4.0
mMTG,0.0,4.0,0.0,0.0,0.0,0.0,13.0
mITG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mPHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pSTG,0.0,0.0,0.0,0.0,0.0,4.0,8.0
pMTG,0.0,0.0,0.0,0.0,0.0,8.0,25.0
pITG,0.0,0.0,0.0,0.0,0.0,4.0,21.0
pFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LG2,4.0,4.0,4.0,4.0,4.0,0.0,0.0
Parietal lobe,,,,,,,
S1,0.0,0.0,0.0,0.0,0.0,13.0,63.0
5Ci,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7PC,0.0,0.0,0.0,0.0,0.0,0.0,50.0
7A,0.0,0.0,0.0,0.0,0.0,0.0,4.0
7P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPS1,0.0,0.0,0.0,0.0,0.0,0.0,50.0
IPS2,0.0,0.0,0.0,0.0,0.0,0.0,50.0
IPS3,0.0,4.0,4.0,4.0,4.0,4.0,33.0
PFo,0.0,0.0,0.0,0.0,0.0,0.0,8.0
PFt,0.0,0.0,0.0,0.0,0.0,0.0,17.0
PF,0.0,0.0,0.0,0.0,0.0,0.0,25.0
PFm,0.0,0.0,0.0,0.0,0.0,0.0,17.0
PFcm,0.0,0.0,0.0,0.0,4.0,0.0,46.0
PGa,0.0,0.0,0.0,0.0,0.0,0.0,25.0
PGp,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Limbic lobe,,,,,,,
ACC,4.0,33.0,17.0,33.0,25.0,25.0,0.0
MCC,0.0,0.0,0.0,0.0,0.0,4.0,4.0
PCC,0.0,4.0,0.0,4.0,0.0,4.0,0.0
Insular,92.0,100.0,71.0,96.0,79.0,100.0,92.0
caudate,75.0,92.0,67.0,79.0,79.0,92.0,58.0
putamen,54.0,88.0,46.0,88.0,50.0,92.0,88.0
pallidum,42.0,83.0,38.0,67.0,42.0,88.0,88.0
thalamus,17.0,46.0,29.0,54.0,38.0,79.0,75.0
amygdala,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hippocampus,13.0,13.0,4.0,4.0,4.0,29.0,63.0
