Number,PCS group,Control group,Number.1,PCS group.1,Control group.1,Number.2,PCS group.2,Control group.2
1,2.03,3.19,13,2.14,2.88,25,2.4,3.21
2,2.35,2.88,14,2.22,3.18,26,2.64,2.7
3,2.48,2.97,15,2.5,2.76,27,2.01,2.66
4,2.53,2.75,16,2.04,2.93,28,2.63,2.77
5,2.42,3.09,17,2.05,2.67,29,2.62,2.72
6,2.34,2.85,18,1.9,3.28,30,2.11,2.86
7,2.21,3.26,19,2.04,2.69,31,2.53,2.86
8,2.46,3.09,20,2.19,2.88,32,2.24,2.77
9,2.02,2.99,21,2.64,3.3,33,2.54,2.99
10,2.04,3.03,22,2.32,3.27,34,2.24,2.79
11,2.53,3.03,23,2.42,3.0,35,2.6,2.88
12,2.61,3.18,24,1.95,2.9,36,2.04,2.73
