Number,PCS group,Control group,Number.1,PCS group.1,Control group.1,Number.2,PCS group.2,Control group.2
1,2.54,2.64,13,2.6,2.72,25,2.55,2.67
2,2.49,3.11,14,2.7,2.44,26,2.64,3.11
3,2.71,2.75,15,2.44,2.42,27,2.47,2.37
4,2.66,3.0,16,2.3,3.18,28,2.64,2.55
5,2.28,2.56,17,2.28,2.36,29,2.72,2.99
6,2.68,3.13,18,2.21,2.68,30,2.19,2.56
7,2.78,3.21,19,2.29,2.77,31,2.43,2.87
8,2.39,2.73,20,2.15,2.54,32,2.47,2.68
9,2.74,3.09,21,2.64,3.29,33,2.81,3.24
10,2.41,2.73,22,2.16,2.7,34,2.68,2.75
11,2.47,2.65,23,2.54,3.26,35,2.39,2.99
12,2.61,2.59,24,2.24,2.74,36,2.47,2.94
