Region,Cluster size (voxels),Cluster size,Z value,MNI coordinates,MNI coordinates,MNI coordinates
Region,Cluster size (voxels),(mm),Z value,x,y,z
Chronic knee pain participants > pain‐free controls,Chronic knee pain participants > pain‐free controls,Chronic knee pain participants > pain‐free controls,Chronic knee pain participants > pain‐free controls,Chronic knee pain participants > pain‐free controls,Chronic knee pain participants > pain‐free controls,Chronic knee pain participants > pain‐free controls
Cuneus,112,3528,2.95,−6,−88,34
Cerebellum,74,2331,3.02,52,−52,−34
"Juxtapositional lobule cortex, precentral gyrus, anterior cingulate cortex",54,1701,2.92,−12,−16,46
Cerebellum,50,1575,3.26,4,−52,−58
Cuneus,48,1512,2.82,14,−80,26
Inferior temporal gyrus,46,1449,2.83,−48,−12,−36
Precentral gyrus,34,1071,2.78,−40,−14,38
Cerebellum,33,1040,2.83,−8,−86,−24
Brain stem,33,1040,3.56,0,−14,−24
Cerebellum,33,1040,3.2,−42,−68,−48
Mammillary bodies,29,914,2.9,2,−4,−18
Cerebellum,27,851,3.38,24,−64,−44
Postcentral gyrus,27,851,3.16,−14,−40,56
Temporal pole,26,819,2.86,38,8,−42
Superior frontal gyrus,23,725,3.1,16,0,68
Lateral occipital cortex,23,725,2.98,20,−86,34
Temporal fusiform cortex,20,630,2.99,−36,−12,−42
Putamen,20,630,3.02,30,8,2
Precentral gyrus,20,630,3.09,−12,−16,74
Pain‐free controls > chronic knee pain participants,Pain‐free controls > chronic knee pain participants,Pain‐free controls > chronic knee pain participants,Pain‐free controls > chronic knee pain participants,Pain‐free controls > chronic knee pain participants,Pain‐free controls > chronic knee pain participants,Pain‐free controls > chronic knee pain participants
Subgenual anterior cingulate cortex,62,1953,3.59,2,20,−10
Ventromedial prefrontal cortex,60,1890,3.76,14,48,−10
Insula,58,1827,3.02,44,−10,4
Hippocampus,53,1670,3.15,38,−26,−16
Cerebellum,50,1575,3.09,22,−40,−48
Cerebellum,41,1292,3.34,−24,−40,−52
Cerebellum,37,1166,3.23,−52,−48,−38
Frontal pole,37,1166,3.7,36,54,−6
Hippocampus,36,1134,3.06,−32,−32,−8
Supramarginal gyrus,36,1134,3,66,−42,26
Middle temporal gyrus,31,977,2.81,54,−52,4
Cerebellum,25,788,2.99,28,−72,−56
Inferior temporal gyrus,24,756,3.39,56,−44,−20
Cerebellum,24,756,2.81,−18,−44,−42
Temporal pole,22,693,3.05,50,18,−16
Inferior temporal gyrus,21,662,2.88,44,−48,−12
