Region,Cluster size (voxels),Cluster size (mm),Z value,MNI coordinates,MNI coordinates,MNI coordinates
Region,Cluster size (voxels),Cluster size (mm),Z value,x,y,z
"Superior parietal lobule, postcentral gyrus, supramarginal gyrus, precentral gyrus",822,"25,893",3.9,−34,−44,46
Middle frontal gyrus,622,"19,593",3.82,36,14,62
Lateral occipital gyrus,268,8442,4.21,−28,−86,38
Supramarginal gyrus,120,3780,3.22,−62,−52,30
Precentral gyrus,119,3749,3.7,−28,−18,70
Precentral gyrus,114,3591,3.55,−62,2,18
Lingual gyrus,94,2961,3.91,22,−46,2
Middle frontal gyrus,82,2583,3.71,−34,14,50
Temporal fusiform,82,2583,3.07,−28,−42,−14
Lateral occipital gyrus,79,2489,3.37,30,−80,34
Posterior cingulate gyrus,70,2205,2.81,0,−26,46
"Supramarginal gyrus, angular gyrus",67,2111,3.29,−44,−50,18
Precentral gyrus,62,1953,2.96,−4,−18,64
Frontal pole,61,1922,2.94,2,56,10
"Temporal pole, parahippocampal gyrus",57,1796,3.22,−18,4,−32
Precuneus,56,1764,3.03,8,−44,62
Middle temporal gyrus,54,1701,3.59,56,4,−38
Precentral gyrus,48,1512,4.03,64,10,12
Temporal pole,46,1449,2.85,30,10,−48
Precentral gyrus,46,1449,3.72,−6,−22,78
Precuneus,39,1229,3.28,−16,−54,20
Lateral occipital gyrus,37,1166,2.8,48,−64,30
Frontal pole,36,1134,4.16,32,42,18
Precentral gyrus,35,1103,2.99,−16,−28,62
Superior frontal gyrus,35,1103,3.25,−24,8,70
"Precentral gyrus, middle frontal gyrus",34,1071,2.77,54,8,70
Cerebellum,33,1040,3.09,−26,−88,−28
Precentral gyrus,33,1040,2.59,46,−6,44
Cerebellum,31,977,2.88,8,−42,−16
Anterior cingulate cortex,29,914,3.11,10,4,40
Superior temporal gyrus,29,914,2.89,64,−34,8
Precuneus,28,882,3.4,22,−52,12
Anterior cingulate cortex,26,819,2.64,0,12,34
Orbitofrontal cortex,24,756,3.64,28,34,−22
Superior frontal gyrus,22,693,3.98,−4,12,72
Lateral occipital gyrus,21,662,2.89,−24,−72,24
Frontal pole,20,630,2.66,34,58,−4
Ventromedial prefrontal cortex,20,630,2.95,0,48,−26
