Region,Peak MNI coordinates,Beta direction
DAN_1,,
Post vs. Pre,Post vs. Pre,Post vs. Pre
,,
Follow-up vs. Pre,Follow-up vs. Pre,Follow-up vs. Pre
,,
Follow-up vs. Post,Follow-up vs. Post,Follow-up vs. Post
,,
Prediction of TFI,Prediction of TFI,Prediction of TFI
Undefined∗∗,"16, −14, −28",+
R. parahippocampal gyrus∗∗,"22, −10, −24",+
R. parahippocampal gyrus∗∗,"26, −4, −32",+
L. lobule IV/V of cerebellar hemisphere∗∗,"−30, −36, −30",+
Undefined∗∗,"−14, −32, −34",+
L. parahippocampal gyrus∗∗,"−24, −6, −28",+
L. hippocampus∗∗,"−22, −20, −16",+
Undefined*,"12, −34, −30",+
L. parahippocampal gyrus*,"−20, 8, −28",+
L. inferior temporal gyrus*,"−34, 8, −38",+
R. superior temporal gyrus*,"46, −28, 12",+
Undefined*,"34, −32, 12",+
Undefined*,"22, −38, 0",+
R. hippocampus*,"20, −30, −6",+
DAN_2,,
Post vs. Pre,Post vs. Pre,Post vs. Pre
,,
Follow-up vs. Pre,Follow-up vs. Pre,Follow-up vs. Pre
,,
Follow-up vs. Post,Follow-up vs. Post,Follow-up vs. Post
,,
Prediction of TFI,Prediction of TFI,Prediction of TFI
L. superior occipital gyrus*,"−14, −74, 22",+
"R. inferior frontal gyrus, pars orbitalis*","41, 29, −5",+
