Brain regions,Side,Cluster size (voxels),t‐value,Peak MNI coordinate (mm),Peak MNI coordinate (mm),Peak MNI coordinate (mm)
Brain regions,Side,Cluster size (voxels),t‐value,x,y,z
Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain,Right habenular nucleus‐whole brain
Middle temporal gyrus,L,34,6.587,62,−38,−12
Insular,L,488,6.331,−32,16,−12
Inferior frontal gyrus,R,156,8.002,34,22,−6
Pallidum,L,74,6.871,−16,−4,0
Middle frontal gyrus,R,53,6.692,32,46,28
Anterior cingulate gyrus,R,232,8.084,4,20,36
Superior frontal gyrus,R,113,7.491,12,34,54
Supplementary motor area,R,57,8.552,10,14,54
Medial frontal gyrus,R,88,9.210,28,12,58
Caudate,R,288,6.892,12,7,16
Thalamus,L,"3,447",13.780,8,−24,2
Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain,Left habenular nucleus‐whole brain
Inferior temporal gyrus,L,48,7.905,−50,−52,−26
Inferior frontal gyrus,R,290,7.639,44,22,−12
Thalamus,L,"1,343",13.041,10,−26,2
Caudate,L,211,6.892,−13,12,12
Pallidum,L,87,5.912,−20,−1,−7
Insular,L,90,8.384,−40,−16,14
Anterior cingulate cortex,R,161,7.326,4,36,14
Middle cingulate cortex,L,"1,226",8.287,−2,14,36
Lingual gyrus,R,48,6.087,4,−78,−10
Insular,R,70,7.484,38,−26,14
