Animal ID,Sex,DOB,Age at start of cognitive testing,Age at social separation,Age at motor testing,Age at rsFC imaging
2,Female,9/16/10,5.82,5.52,5.49,6.52
4,Female,9/16/10,5.32,5.59,5.41,6.56
6,Female,7/5/11,4.93,4.67,4.68,5.64
8,Female,1/4/10,6.05,6.16,6.09,7.32
10,Female,7/5/11,4.52,4.81,,5.93
12,Female,3/22/11,4.82,5.01,4.95,5.76
14,Female,11/23/11,4.12,4.36,4.26,
15,Female,1/18/11,4.99,5.21,5.14,6.45
17,Female,4/2/12,4.21,4.01,4.07,5.53
19,Female,1/6/12,4.78,4.25,4.35,
21,Female,11/18/11,4.72,4.71,4.47,5.61
23,Female,4/28/12,4.08,3.96,3.96,5.13
26,Female,3/18/12,4.41,4.34,4.44,5.7
28,Female,3/28/12,4.55,4.34,,
1,Male,6/1/11,4.64,4.87,4.78,5.82
3,Male,6/18/10,5.56,5.73,5.72,6.81
5,Male,5/1/11,4.69,4.86,4.84,5.81
7,Male,9/3/09,6.86,6.51,6.48,7.65
9,Male,8/20/10,5.52,5.57,5.52,6.8
11,Male,10/28/10,5.21,5.39,5.27,6.15
13,Male,11/28/11,4.65,4.64,,
16,Male,5/13/12,3.96,3.92,,5.13
18,Male,5/10/11,5.3,4.93,5.01,6.42
20,Male,4/8/11,5.21,5.04,5.05,
22,Male,6/4/11,5.01,4.88,4.93,6.07
24,Male,11/9/11,4.77,4.41,4.42,5.59
25,Male,8/4/11,,5.06,,
27,Male,9/28/11,5.03,4.81,4.92,6.17
