Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Reversal learning,Reversal learning,Reversal learning,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,SD1,SD1,SR1,SR1,SD2,SD2,SR2,SR2,SD3,SD3,SR3,SR3
Unnamed: 0_level_2,Sex,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM
TTC,Male,114.71,28.13,245.68,35.06,256.11,61.04,466.18,81.08,334.64,62.76,491.79,64.43
TTC,Female,73.28,11.5,203.85,23.42,241.71,32.75,581.92,50.46,325.0,55.78,704.21,113.37
Sessions,Male,7.91,2.22,17.27,2.76,11.0,3.0,19.55,3.05,13.45,2.49,22.27,4.64
Sessions,Female,3.64,0.68,15.82,2.72,11.0,1.46,21.91,2.51,12.18,2.27,27.09,5.15
Omissions,Male,139.91,49.01,371.82,92.81,189.64,66.85,350.82,98.29,219.45,58.02,465.64,175.87
Omissions,Female,57.36,10.43,355.91,122.89,149.0,40.18,265.36,60.76,171.0,53.12,386.55,172.72
Errors,Male,54.09,14.1,141.36,19.69,82.73,17.89,203.82,36.77,115.45,22.77,234.91,29.49
Errors,Female,21.45,5.66,114.82,12.17,80.36,10.26,263.09,23.51,106.36,20.85,304.27,49.62
Response latencies (ms),Male,3654.42,189.63,3340.06,136.84,2935.33,210.35,2847.08,188.39,2780.91,154.99,2714.02,204.92
Response latencies (ms),Female,3532.97,215.84,3382.48,155.75,2937.11,87.55,2778.18,147.96,2761.57,185.61,2747.72,178.55
