Seed region,Regions,Clustersize,MNI coordination,MNI coordination,MNI coordination,P value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1
R-PostCG/LING/CAL,L-LING,282,−12,−60,−12,−4.5011
,L-CUN,163,3,−93,24,−3.9564
,L-SOG,90,−24,−72,18,−3.8977
L-PostCG/LING/CAL,R-LING,852,−6,−60,−6,−4.7800
,R-MTG,29,42,−63,3,−3.3359
R-MTG,L-CER-8,129,−36,−57,−51,−3.4584
,L-LING,3542,3,−90,27,−4.4815
,L-SMA,775,−3,0,60,−4.3930
L-MTG,L-MOG,294,24,−81,15,−3.8720
R-MOG/ANG,L-MTP,732,0,−30,−33,−4.7765
