RSNs and domain names,IC number,"MNI peak (x, y, z)"
Auditory (AUD),,
Left superior temporal gyrus,13.0,"(−58, −22, 10)"
Default mode network (DMN),,
Anterior cingulate,8.0,"(2, 14, −5)"
Posterior cingulate,16.0,"(14, −56, 5)"
Right postcentral gyrus,27.0,"(56, −32, 55)"
Right inferior temporal gyrus,30.0,"(54, −24, −20)"
Precuneus,39.0,"(0, −66, 60)"
Precuneus,43.0,"(0, −66, 35)"
Posterior cingulate,47.0,"(0, −60, 10)"
Right angular gyrus,59.0,"(38, −80, 30)"
Right parahippocampal gyrus,63.0,"(22, −28, −10)"
Executive control network (ECN),,
Left middle frontal gyrus,2.0,"(−38, 44, −5)"
Right inferior parietal lobule,12.0,"(48, −58, 55)"
Right inferior frontal gyrus,24.0,"(48, 14, 30)"
Superior frontal gyrus,41.0,"(2, 14, 70)"
Superior frontal gyrus,45.0,"(0, 44, 55)"
Left superior frontal gyrus,48.0,"(−12, −4, 70)"
Right superior frontal gyrus,52.0,"(24, 36, 30)"
Right middle frontal gyrus,58.0,"(24, 20, 50)"
Left superior parietal lobule,65.0,"(−38, −64, 55)"
Medial frontal gyrus,72.0,"(0, 52, −5)"
Medial frontal gyrus,73.0,"(0, 62, 5)"
Salience network (SAL),,
Left superior temporal gyrus,4.0,"(−42, 8, −15)"
Left middle frontal gyrus,20.0,"(−42, 52, 10)"
Cingulate gyrus,35.0,"(0, 10, 35)"
Right inferior frontal gyrus,44.0,"(44, 16, 5)"
Medial frontal gyrus,61.0,"(2, 0, 55)"
Anterior cingulate,71.0,"(0, 32, 35)"
Sensorimotor (SEN),,
Right precentral gyrus,1.0,"(54, −8, 30)"
Left precentral gyrus,9.0,"(−48, −36, 60)"
Postcentral gyrus,25.0,"(10, −60, 70)"
Medial frontal gyrus,26.0,"(0, −22, 70)"
Right precentral gyrus,33.0,"(42, −22, 65)"
Subcortical (SBC),,
Basal ganglia,6.0,"(0, −22, −5)"
Left lentiform nucleus,18.0,"(−18, −10, 0)"
Left parahippocampal gyrus,19.0,"(−18, −20, −20)"
Left lentiform nucleus,50.0,"(−24, 4, 0)"
Right parahippocampal gyrus,66.0,"(18, −4, −15)"
Right lentiform nucleus,69.0,"(18, −8, 0)"
Attentional (ATT),,
Left superior temporal gyrus,3.0,"(−36, 10, −30)"
Left middle temporal gyrus,21.0,"(−60, −30, 0)"
Precuneus,32.0,"(4, −82, 45)"
Left supramarginal gyrus,67.0,"(−60, −48, 40)"
Right middle temporal gyrus,70.0,"(56, −66, 5)"
Visual (VIS),,
Cuneus,15.0,"(2, −94, 25)"
Right inferior occipital gyrus,34.0,"(32, −94, −10)"
Right fusiform gyrus,60.0,"(38, −68, −20)"
Left lingual gyrus,68.0,"(−24, −66, −10)"
Lingual gyrus,74.0,"(0, −80, −5)"
