Seed,Regions,Side,MNI Coordinate,MNI Coordinate,MNI Coordinate,Voxel,z-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1,Unnamed: 7_level_1
Left dorsal caudate,MI,L,−26,−24,68,53,−4.32
,SI,L,−38,−32,56,52,−3.55
Left ventral caudate,MI,L,−46,−20,44,55,−4.15
,MI,R,58,−2,32,30,−4.24
,Thalamus,L,−6,−16,14,23,−3.72
Right dorsal caudate,MI,L,−28,−34,58,112,−3.89
,MFG,L,−6,−28,58,27,3.66
,STG,L,−48,−30,6,20,−3.42
Right ventral caudate,MI,L,−46,−20,42,82,−4.12
,SI,L,−36,−40,58,61,−3.73
,MI,R,58,−2,32,26,−3.76
