Positive Differences,Positive Differences,Positive Differences,Negative Differences,Negative Differences,Negative Differences
First ROI,Second ROI,Difference,First ROI,Second ROI,Difference
8.0,10.0,0.3051,88,89,−0.332
41.0,84.0,0.2899,19,49,−0.3008
28.0,43.0,0.2894,19,59,−0.3006
37.0,84.0,0.2873,53,89,−0.2997
28.0,47.0,0.2728,19,50,−0.2994
28.0,45.0,0.2723,18,88,−0.2979
10.0,53.0,0.2701,13,60,−0.2783
78.0,83.0,0.2671,4,53,−0.2751
78.0,84.0,0.2568,56,64,−0.2666
31.0,41.0,0.253,53,85,−0.2664
10.0,55.0,0.252,8,88,−0.266
28.0,48.0,0.2514,14,88,−0.2598
10.0,89.0,0.2511,52,64,−0.2591
32.0,41.0,0.2494,19,52,−0.258
25.0,28.0,0.2417,18,40,−0.2577
16.0,70.0,0.2399,13,18,−0.2576
10.0,25.0,0.2386,18,26,−0.255
77.0,83.0,0.2362,1,18,−0.2536
76.0,79.0,0.2346,42,88,−0.2525
40.0,84.0,0.2341,14,26,−0.2507
28.0,41.0,0.2339,22,42,−0.2478
28.0,46.0,0.2327,18,32,−0.2471
1.0,65.0,0.2324,5,18,−0.2442
34.0,61.0,0.2299,60,88,−0.2436
33.0,41.0,0.2297,62,80,−0.2429
28.0,44.0,0.2275,46,85,−0.2417
4.0,10.0,0.2272,35,46,−0.2384
39.0,84.0,0.2269,19,60,−0.2376
33.0,39.0,0.2218,8,53,−0.2373
57.0,65.0,0.2211,18,59,−0.2368
34.0,41.0,0.2199,18,25,−0.2336
40.0,69.0,0.2185,13,80,−0.2313
33.0,90.0,0.2181,50,89,−0.2277
69.0,75.0,0.2172,58,59,−0.2266
1.0,34.0,0.2154,53,67,−0.2265
10.0,24.0,0.2154,56,62,−0.2254
37.0,57.0,0.2141,60,82,−0.2238
57.0,76.0,0.2139,59,80,−0.2218
41.0,75.0,0.2137,36,46,−0.2215
26.0,28.0,0.2132,2,88,−0.2207
33.0,37.0,0.2118,15,60,−0.2196
70.0,75.0,0.2115,50,85,−0.2177
10.0,87.0,0.2115,51,63,−0.2175
39.0,69.0,0.2113,67,80,−0.2173
34.0,90.0,0.2092,51,82,−0.2171
33.0,74.0,0.2089,13,52,−0.2157
69.0,76.0,0.2083,35,65,−0.2152
79.0,90.0,0.2076,19,46,−0.215
15.0,41.0,0.2063,13,88,−0.2134
33.0,40.0,0.2041,49,64,−0.213
11.0,65.0,0.2014,67,79,−0.2122
,,,26,82,−0.2122
,,,18,31,−0.2113
,,,50,64,−0.2113
,,,55,88,−0.2096
,,,51,64,−0.2092
,,,25,82,−0.2089
,,,46,77,−0.206
,,,52,63,−0.2053
,,,18,71,−0.2053
,,,18,22,−0.204
,,,38,78,−0.2036
,,,38,47,−0.2036
,,,18,51,−0.2025
,,,30,88,−0.2011
,,,19,53,−0.2004
,,,13,86,−0.2002
,,,64,86,−0.2001
,,,19,68,−0.2
