Test,DLB VH,DLB VH,DLB VH,DLB NVH,DLB NVH,DLB NVH,p value
Unnamed: 0_level_1,n,Mean (SD),Median (IQR),n,Mean (SD),Median (IQR),Unnamed: 7_level_1
Digit cancellation,6.0,27.33 (6.65),26.50 (13.0),15.0,34.20 (9.92),36.0 (15.0),0.14 †
TMT-A (s),6.0,166.8 (74.3),139.50 (148),13.0,128.0 (74.10),101.0 (65.0),0.13 ‡
Digit span:,,,,,,,
Forward,6.0,4.17 (0.98),4.0 (0.75),15.0,4.80 (1.08),5.00 (2.0),0.24 ‡
Backward,6.0,2.33 (0.52),2.0 (1.0),15.0,2.87 (1.19),3.00 (2.0),0.21 ‡
Prose memory:,,,,,,,
Immediate,7.0,6.29 (2.21),6.0 (4.0),16.0,6.94 (3.91),6.00 (3.0),0.97 ‡
Delayed,7.0,6.71 (3.95),7.0 (3.0),16.0,7.50 (4.87),7.00 (6.0),0.77 ‡
Letter fluency,6.0,17.17 (12.0),11.5 (18.5),13.0,16.62 (11.92),11.00 (21.5),0.70 ‡
Clock drawing,6.0,5.17 (2.86),4.0 (4.25),16.0,4.66 (3.52),5.75 (6.38),0.76 †
ROCF Copy,6.0,12.75 (15.2),7.25 (28.5),13.0,20.19 (11.14),22.0 (19.75),0.32 ‡
ROCF Delayed,6.0,2.58 (3.69),1.50 (4.63),13.0,7.27 (5.52),7.00 (9.75),0.09 ‡
VOSP:,,,,,,,
Screening test,7.0,18.29 (2.63),20.0 (5.0),15.0,19.33 (0.72),19.00 (1.0),0.95 ‡
Incomplete letters,7.0,8.57 (6.48),8.0 (11.0),15.0,12.20 (7.54),15.00 (13.0),0.30 ‡
Silhouettes,7.0,8.29 (6.24),9.0 (11.0),15.0,12.33 (3.87),13.00 (6.0),0.08 †
Object decision,7.0,7.29 (5.71),9.00 (12.00),14.0,11.14 (3.96),12.00 (6.25),0.09 †
Progressive silhouettes,7.0,8.29 (6.50),8.00 (14.00),14.0,11.36 (3.88),11.00 (3.50),0.19 †
Dot counting,7.0,9.43 (0.79),10.00 (1.00),15.0,9.40 (1.55),10.00 (1.00),0.58 ‡
Position discrimination,7.0,15.43 (7.04),19.00 (4.00),15.0,17.27 (3.73),19.00 (8.00),0.41 ‡
Number location,7.0,6.14 (4.67),7.00 (8.00),15.0,6.07 (2.55),7.00 (4.00),0.97 †
Cube analysis,7.0,4.57 (3.10),5.00 (5.00),15.0,5.53 (3.29),5.00 (6.00),0.52 †
