DMN,DMN.1,DMN anterior,DMN anterior.1,DMN ventral,DMN ventral.1,Sensorimotor,Sensorimotor.1,Visual,Visual.1
Roi,Region name,Roi,Region name,Roi,Region name,Roi,Region name,Roi,Region name
59,Parietal_Sup_L,29,Insula_L,35,Cingulum_Post_L,1,Precentral_L,43,Calcarine_L
60,Parietal_Sup_R,30,Insula_R,36,Cingulum_Post_R,2,Precentral_R,44,Calcarine_R
61,Parietal_Inf_L,31,Cingulum_Ant_L,37,Hippocampus_L,7,Frontal_Mid_L,45,Cuneus_L
62,Parietal_Inf_R,32,Cingulum_Ant_R,38,Hippocampus_R,8,Frontal_Mid_R,46,Cuneus_R
85,Temporal_Mid_L,87,Temporal_Pole_Mid_L,39,Parahippocampal_L,19,Supp_Motor_Area_L,47,Lingual_L
86,Temporal_Mid_R,88,Temporal_Pole_Mid_R,40,Parahippocampal_R,20,Supp_Motor_Area_R,48,Lingual_R
,,,,55,Fusiform_L,57,Postcentral_L,49,Occipital_Sup_L
,,,,56,Fusiform_R,58,Postcentral_R,50,Occipital_Sup_R
,,,,65,Angular_L,63,Supramarginal_L,51,Occipital_Mid_L
,,,,66,Angular_R,64,Supramarginal_R,52,Occipital_Mid_R
,,,,67,Precuneus_L,69,Paracentral_Lobule_L,53,Occipital_Inf_L
,,,,68,Precuneus_R,70,Paracentral_Lobule_R,54,Occipital_Inf_R
