Unnamed: 0,Variable,"Younger adults (≤65), n = 60","Older adults (>65), n = 55",P-value
Demographics,Age,51.4 ± 13.36,70.27 ± 3.96,p < 0.001???
,Gender (F/M),34 (56.7%)/26 (43.3%),30 (54.5%)/25 (45.5%),p = 0.22???
,IQ,118.83 ± 7.32,118.86 ± 8.99,p = 0.98???
,Years of education,16.12 ± 1.9,16.27 ± 23.34,p = 0.69???
Neuropsychological performance (domain z-scores),Processing speed,0.16 ± 0.83,-0.34 ± 0.72,p < 0.001???
,Vocabulary,0.32 ± 0.72,0.2 ± 0.93,p = 0.44???
,Episodic memory,0.23 ± 0.92,-0.32 ± 0.95,p < 0.002???
,Fluid reasoning,0.13 ± 0.69,-0.38 ± 0.69,p < 0.001???
Gait,UW velocity (m/s),0.96 ± 0.19,0.97 ± 0.18,p = 0.97???
,UW stride length (m),1.19 ± 0.22,1.2 ± 0.24,p = 0.72???
,UW stride regularity (a.u),0.78 ± 0.1,0.74 ± 0.11,p = 0.021???
,UW step symmetry (a.u),0.79 ± 0.24,0.84 ± 0.22,p = 0.28???
,UW step regularity (a.u),0.65 ± 0.16,0.61 ± 0.17,p = 0.27???
,DT velocity (m/s),0.84 ± 0.13,0.84 ± 0.13,p = 0.76???
,DT stride length (m),1.15 ± 0.13,1.15 ± 0.19,p = 0.95???
,DT stride regularity (a.u),0.63 ± 0.2,0.59 ± 0.18,p = 0.22???
,DT step symmetry (a.u),0.55 ± 0.2,0.54 ± 0.18,p = 0.62???
,DT step regularity (a.u),0.88 ± 0.35,0.95 ± 0.34,p = 0.26???
