References,ALFF based rsFC,fALFF based rsFC,ReHo based rsFC,Seed based rsFC,Seed taken,RSN/ROI to RSN/ ROI,RSN taken,ROI taken,Other measures of rsFC,Correction for multiple comparisons,rsFC measure/ROI used in ALE analysis,Other studies included in ALE analysis of the respective rsFC measure/ROI
Abbott et al. (???),-,-,-,-,-,RSN to RSN,"pDMN to dmPFC, L. dlPFC",-,-,FDR,"pDMN (PCC, Precuneus) with dmPFC","Leaver et al., ???"
Abbott et al. (???),-,-,-,Yes,HC,-,-,-,-,FWER,R. HC to R. TL,
Liu et al. (???),Yes,-,-,Yes,L. sgACC,-,-,-,-,FWER,ALFF,"Kong et al., ???; Bai et al., ???"
Argyelan et al. (???),-,Yes,-,Yes,SCC(peak coordinate on R. side),-,-,-,-,FWER (fALFF); FDR (sbFC),fALFF,"Qiu et al., ???"
Leaver et al. (???),-,-,-,-,-,RSNs to ROI,"mdTh/ vBGN, pDMN, aDMN, vDMN, SAL, OFN, AMTN","dACC, PCC, R. a TL, Precuneus, mdTh,",GTN,FDR,"pDMN (PCC, Precuneus) with dmPFC","Abbott et al., ???"
Qiu et al. (???),-,-,Yes,-,-,-,-,-,-,FWER,ReHo,"Kong et al., ???"
Kong et al. (???),Yes,-,Yes,-,-,-,-,-,-,FWER,ALFF ReHo,"Liu et al., ???; Qiu et al., ???; Bai et al., ???"
Bai et al. (???),Yes,-,-,Yes,dmPFC,-,-,-,-,FWER,ALFF Seed (dmPFC) to voxel,"Liu et al., ???; Qiu et al., ???; Kong et al., ???; Wang J. et al., ???"
Qiu et al. (???),,Yes,-,-,-,-,-,-,-,FWER,fALFF,"Argyelan et al., ???"
Wang L. et al. (???),-,-,-,Yes,R. aInsula (v),-,-,-,-,FWER,Seed [R. aInsula (v)] to voxel,"Zhang et al., ???"
Takamiya et al. (???),-,-,-,Yes,"R. HC, L. HC",-,-,-,-,FDR,Seed (R. HC) to voxel,
Wang J. et al. (???),-,-,-,Yes,"L. AG, dmPFC",-,-,-,FcHo,FWER,Seed (dmPFC) to voxel,"Bai et al., ???"
Zhang et al. (???),-,-,-,Yes,R. & L. aInsula (v),-,-,-,-,FWER,Seed [R. aInsula (v)] to voxel,"Wang L. et al., ???"
