Species and Stimulation Type,Anesthesia Regime,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters,Stimulation parameters
Unnamed: 0_level_1,Unnamed: 1_level_1,4 Hz,4 Hz,4 Hz,4 Hz,4 Hz,4 Hz,6 Hz,6 Hz,8 Hz,8 Hz,8 Hz,8 Hz
Unnamed: 0_level_2,Unnamed: 1_level_2,1 mA,1 mA,1.5 mA,1.5 mA,2 mA,2 mA,2 mA,2 mA,1 mA,1 mA,2 mA,2 mA
Unnamed: 0_level_3,Unnamed: 1_level_3,Animals with seizures,No. of seizures per run,Animals with seizures,No. of seizures per run,Animals with seizures,No. of seizures per run,Animals with seizures,No. of seizures per run,Animals with seizures,No. of seizures per run,Animals with seizures,No. of seizures per run
SD Rats Forepaw stim,Dex and Bup,0/3,–,,,0/3,–,,,3/3,1.50 ± 0.81,7/9,2.14 ± 0.40
,Dex and Bup measured with ECoG,,,,,,,,,,,5/6,3.04 ± 0.42
,Dex and Bup without Ketamine,,,,,,,,,,,3/3,2.37 ± 0.35
,Dex and Iso without Bup,,,0/3,–,,,,,,,2/4,1.88 ± 0.44
LE Rats Forepaw stim,Dex and Bup,,,,,,,,,,,5/5,3.73 ± 0.50
C57 Mice Forepaw stim,Dex and Bup,,,,,0/5,–,0/5,–,,,0/5,–
