ROI,group,Unnamed: 2,ReHo mean vs. Q5 in zone frequency,ReHo mean vs. Q5 in zone time,ReHo mean vs. Num of squares
S1J/M1,E,r,-0.773**,-0.895**,-0.829**
S1J/M1,E,p,0.009,0.000,0.003
S1J/M1,FE,r,-0.948**,-0.968**,-0.880**
S1J/M1,FE,p,0.000,0.000,0.002
M2/PrL,E,r,-0.281,-0.264,-0.315
M2/PrL,E,p,0.431,0.465,0.376
M2/PrL,H,r,-0.736,-0.731,-0.530
M2/PrL,H,p,0.077,0.099,0.280
M1,E,r,-0.418,-0.480,-0.547
M1,E,p,0.230,0.161,0.102
M1,T,r,-0.775*,-0.673*,-0.637
M1,T,p,0.014,0.047,0.065
Or/cg,T,r,-0.619,-0.639,-0.006
Or/cg,T,p,0.075,0.064,0.987
Or/cg,H,r,-0.396,-0.634,-0.510
Or/cg,H,p,0.437,0.176,0.302
