Method,References,N,Design,Whole brain/ ICN/ROI,Phases considered,Cycle comparisons,Cycle comparisons,Hormone relations,Hormone relations
Method,References,N,Design,Whole brain/ ICN/ROI,Phases considered,Pre-O,L,E,P
Group ICA,Hjelmervik et al. ???,16,Longitudinal,FPN,"M, Pre-O, L",n.s,n.s,n.s,n.s
Group ICA,Petersen et al. ???,20 M 25 L,Cross-sectional,DMN and ECN,"M, L",Not considered,↓DMN-lAng1↓ECN-ACC1,n.s,n.s
Group ICA,De Bondt et al. ???,18,Longitudinal,DMN and FPN,"M, Pre-O, L",n.s,n.s,↑Precuneus,n.s
Group ICA,Pletzer et al. ???,18,Longitudinal,"DMN, FPN, ECN, MLN","M, Pre-O, L",↑DMN-lTemp1↓MLN-BG1,"↑DMN-Cuneus1,2↑rFPN-mPFC/BG1,2↓lFPN-rSMC/ rOperculum1,2↓MLN-Precuneus/BG1,2",Not considered,Not considered
Group ICA,Weis et al. ???,19,Longitudinal,DMN,"M, Pre-O, L",↓DMN-ldlPFC1,n.s,Not considered,Not considered
Group ICA,Syan et al. ???,25,Longitudinal,"DMN, FPN, MLN","M, L",Not considered,n.s,Not considered,Not considered
ECM,Arélin et al. ???,1,Single subject32 scans,Whole brain,Four entire MC,Not considered,Not considered,n.s,↑ dlPFC↑ SMC
ALFF,Not considered,Not considered,Not considered,Not considered,Not considered,Not considered,Not considered,Not considered,Not considered
Seed based connectivity,Syan et al. ???,25,Longitudinal,"PCC, dlPFC, aI, Amyg, V1, SMC","M, L",Not considered,n.s,↑ Amyg-SMC,↓dlPFC-SMC
Seed based connectivity,Engman et al. ???,18,Longitudinal,Amyg and dACC,"M, L",Not considered,↑Amyg-dlPFC/SMC/CB1↑dACC-dlPFC/Temp/SMC1,Not considered,Not considered
Seed based connectivity,Arélin et al. ???,1,Single subject32 scans,dlPFC and SMC,Four entire MC,Not considered,Not considered,n.s,↑dlPFC-Hipp↑SMC-Hipp
