Pair,"Pre, Mean ± SD","Post, Mean ± SD",t,p
No treatment group,No treatment group,No treatment group,No treatment group,No treatment group
3–17 (OccP–?),0.16 ± 0.30,–0.01 ± 0.36,2.21,0.044
7–11 (RFr–ECN),0.31 ± 0.12,–0.02 ± 0.33,3.75,0.002
7–17 (RFR–?),0.31 ± 0.16,0.09 ± 0.26,2.58,0.022
10–12 (DMN–DMN/LFr),0.45 ± 0.15,0.31 ± 0.18,2.21,0.044
10–14 (DMN–?),–0.49 ± 0.17,–0.34 ± 0.22,–2.34,0.035
Combined treatment group,Combined treatment group,Combined treatment group,Combined treatment group,Combined treatment group
1–3 (mVis–OccP),0.17 ± 0.40,0.50 ± 0.22,–3.71,0.003
5–13 (AN–SMN),0.43 ± 0.33,0.55 ± 0.27,–2.61,0.022
11–16 (ECN–DMN),0.14 ± 0.36,0.37 ± 0.22,–2.44,0.030
14–16 (?–DMN),–0.01 ± 0.34,0.19 ± 0.25,–2.48,0.028
15–17 (LFr–?),0.25 ± 0.3,–0.01 ± 0.35,2.21,0.046
Cognitive behavioral therapy group,Cognitive behavioral therapy group,Cognitive behavioral therapy group,Cognitive behavioral therapy group,Cognitive behavioral therapy group
1–3∗ (mVis–OccP),0.30 ± 0.38,0.53 ± 0.28,–2.35,0.051 (n/s)
5–11 (AN–ECN),0.36 ± 0.32,0.54 ± 0.24,–3.53,0.010
5–13 (AN–SMN),0.45 ± 0.30,0.61 ± 0.15,–2.39,0.049
14–16 (?–DMN),–0.07 ± 0.39,0.22 ± 0.26,–2.85,0.026
15–17 (LFr–?),0.28 ± 0.35,–0.13 ± 0.38,2.50,0.040
fMRI neurofeedback group,fMRI neurofeedback group,fMRI neurofeedback group,fMRI neurofeedback group,fMRI neurofeedback group
1–3 (mVis–OccP),0.01 ± 0.39,0.47 ± 0.14,–3.00,0.030
11–16 (ECN–DMN),–0.10 ± 0.17,0.28 ± 0.26,–3.35,0.020
13–14 (SMN–?),0.30 ± 0.26,–0.04 ± 0.42,3.26,0.022
