Layer,Feature Map,Stride,Kernel,Activation structure
Convolution,64,1 × 1 × 1,3 × 3 × 3,Conv
Convolution,64,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Maxpool,,2 × 2 × 2,2 × 2 × 2,
Convolution,128,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Convolution,128,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Maxpool,,1 × 1 × 1,2 × 2 × 2,
Convolution,256,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Convolution,256,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Convolution,256,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Maxpool,,2 × 2 × 2,2 × 2 × 2,
Convolution,512,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Convolution,512,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Convolution,512,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Maxpool,,2 × 2 × 2,2 × 2 × 2,
Convolution,512,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Convolution,512,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Convolution,512,1 × 1 × 1,3 × 3 × 3,Batchnorm+ReLU+Conv
Maxpool,,1 × 1 × 1,2 × 2 × 2,
Fully Connected,4096,Dropout rate 0.7,Dropout rate 0.7,ReLU
Fully Connected,4096,Dropout rate 0.7,Dropout rate 0.7,ReLU
Output,,,,
Fully Connected,2,,,
Softmax,,,,
Classification Layer,Argmax,Argmax,Argmax,Argmax
