Unnamed: 0_level_0,Unnamed: 1_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 5_level_0,Unnamed: 6_level_0
Regions,BA,x,y,z,Cluster size,Z-score
Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls
Inferior parietal lobule,Inferior parietal lobule,Inferior parietal lobule,Inferior parietal lobule,Inferior parietal lobule,Inferior parietal lobule,Inferior parietal lobule
Superior temporal gyrus,22,−48,−44,20,469,5.34
"Inferior parietal lobule, supramarginal gyrus",40,−58,−50,26,−,4.2
"Inferior parietal lobule, supramarginal gyrus",40,−56,−42,26,−,3.86
Anterior cingulate,Anterior cingulate,Anterior cingulate,Anterior cingulate,Anterior cingulate,Anterior cingulate,Anterior cingulate
Mid and anterior cingulate cortex,32,−4,20,40,444,4.78
Superior frontal gyrus,6,−14,10,60,−,4.31
"Midcingulate, dorsomedial frontal cortex, supplementary motor area",6,4,10,46,−,4
Middle frontal gyrus,9,−30,44,36,50,4.23
Insula (right),Insula (right),Insula (right),Insula (right),Insula (right),Insula (right),Insula (right)
Inferior orbital frontal gyrus,47,52,16,−4,197,4.19
Anterior insula,13,44,10,0,−,4
Superior temporal pole,38,56,12,−12,−,3.81
Visual cortex,Visual cortex,Visual cortex,Visual cortex,Visual cortex,Visual cortex,Visual cortex
Superior occipital gyrus,19,−16,−84,16,334,4.08
"Cuneus, Calcarine sulcus","17, 18",6,−80,28,−,4.04
Cuneus,18,6,−86,38,−,3.96
Insula (left),Insula (left),Insula (left),Insula (left),Insula (left),Insula (left),Insula (left)
Anterior insula,13,−40,10,6,81,4.08
Subcentral gyrus,4,−56,0,8,−,3.34
"Insula, subcentral gyrus",4,−46,0,8,−,3.02
Middle frontal gyrus,,52,16,42,60,4.06
"Precuneus, superior parietal lobule",7,−12,−72,46,63,3.91
Occipito-parietal cortex,Occipito-parietal cortex,Occipito-parietal cortex,Occipito-parietal cortex,Occipito-parietal cortex,Occipito-parietal cortex,Occipito-parietal cortex
Superior occipital gyrus,19,−30,−60,26,194,3.76
"Inferior parietal lobule, angular gyrus",39,−36,−60,40,−,3.45
Cuneus,23,−20,−52,28,−,3.33
Cerebellum,Cerebellum,Cerebellum,Cerebellum,Cerebellum,Cerebellum,Cerebellum
Cerebellum crus I,−,48,−66,−30,145,3.61
Cerebellum crus I,−,30,−64,−30,−,3.47
Cerebellum crus I,−,40,−52,−32,−,3.18
Precuneus,7,−4,−72,52,54,3.58
Cuneus,19,−16,−84,36,51,3.58
"Inferior frontal gyrus, pars triangularis",45,−40,38,26,50,3.41
"Inferior frontal gyrus, pars triangularis",45,−46,38,18,−,3.14
Brainstem,−,−2,−24,−28,56,3.39
Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief
Lateral occipital cortex,Lateral occipital cortex,Lateral occipital cortex,Lateral occipital cortex,Lateral occipital cortex,Lateral occipital cortex,Lateral occipital cortex
Middle occipital gyrus,,−54,−74,16,76,3.69
Middle occipital gyrus,,−50,−82,10,−,2.72
Precuneus add,,8,−50,40,55,3.57
