Laterality,Subject ID,hMHS MNI x y z (mm),Location,Brodmann’s areas included in the ROI
Left,1,−54 −9 42,Gray matter,"4, 3"
,2,−43 −9 53,Gray matter,"4, 6"
,3,−31 1 57,Gray matter,"4, 6"
,4,−37 −9 54,Gray matter,"4, 6"
,5,−36 2 49,Gray matter,"4, 6"
,6,−46 −4 51,Gray matter,"4, 6"
,7,−45 −12 56,Gray matter,"4, 6"
,8,−51 −16 53,Gray matter,"4, 3"
,9,−43 −9 52,Gray matter,"4, 6"
,10,−43 −14 54,Gray matter,"4, 3"
,11,−39 −6 56,Gray matter,"4, 6"
,12,−43 −12 56,Gray matter,"4, 6"
,13,−39 −12 59,Gray matter,"4, 6"
,14,−49 −11 51,Gray matter,"4, 3"
,15,−41 12 50,Gray matter,"4, 6"
,16,−43 −12 54,Gray matter,"4, 3"
,17,−34 −17 62,Gray matter,"4, 6"
,18,−36 9 52,Gray matter,"4, 6"
,19,−22 −8 68,Gray matter,"4, 6"
Right,1,37 −14 60,Gray matter,"4, 6"
,2,54 −18 50,Gray matter,"1, 3"
,3,34 14 58,Gray matter,6
,4,46 −7 53,Gray matter,"4, 6"
,5,57 2 42,Gray matter,"4, 6"
,6,44 7 47,Gray matter,"4, 6"
,7,46 −17 59,Gray matter,"4, 3"
,8,49 −9 52,Gray matter,"4, 6"
,9,40 3 52,Gray matter,"4, 6"
,10,45 −17 55,Gray matter,"4, 3"
,11,34 1 59,Gray matter,"4, 6"
,12,44 −10 56,Gray matter,"4, 6"
,13,44 −14 58,Gray matter,"4, 6"
,14,48 −11 49,Gray matter,"4, 3"
,15,43 4 50,Gray matter,"4, 6"
,16,47 −5 53,Gray matter,"4, 6"
,17,41 −15 58,Gray matter,"4, 6"
,18,44 −3 50,Gray matter,"4, 6"
,19,49 5 43,Gray matter,"4, 6"
