Seed region,Cluster size (voxels),Z-score,Peak MNI x y z (mm),Laterality,Brodmann’s area
l-BA4 > l-hMHS,204,5.99,−15 −36 66,Left,4.0
,,5.95,−21 −30 63,Left,3.0
,,5.91,−6 −33 54,Left,6.0
,55,5.55,3 −39 54,Right,5.0
,,5.55,12 −33 60,Right,6.0
,,5.53,21 −30 60,Right,3.0
l-hMHS > l-BA4,No voxels survived,,,,
r-BA4 > r-hMHS,563,5.93,6 −48 66,Right,5.0
,,5.9,9 −39 69,Right,4.0
,,5.73,−18 −51 51,Left,7.0
,63,5.7,−66 −27 3,Left,22.0
,,5.49,−60 −12 0,Left,22.0
,,5.32,−63 −21 9,Left,42.0
r-hMHS > r-BA4,No voxels survived,,,,
