Unnamed: 0,Anatomical structure,Peak voxel,Cluster size (vx),p
rFFA,R middle frontal gyrus/precentral gyrus,+ 45 + 09 + 45,14,0.00192
lFFA,L caudate nucleus and olfactory gyri,− 06 + 06 − 15,45,3.6e-05
lFFA,L superior temporal pole,− 27 + 06 − 30,15,0.001948
rTVA,L superior occipital gyrus,− 24 − 81 + 33,91,3.6e-05
rTVA,R inferior parietal gyrus,+ 36 − 51 + 42,49,3.6e-05
rTVA,R superior temporal gyrus,+ 54 − 36 + 15,13,0.006604
rTVA,R frontal inferior orbital gyrus,+ 48 + 36 − 06,50,3.6e-05
rTVA,L middle occipital gyrus,− 36 − 81 + 48,42,3.6e-05
rTVA,R thalamus,+ 06 − 21 + 21,14,0.003756
lTVA,L superior occipital gyrus,− 27 − 81 + 33,51,3.6e-05
lTVA,R inferior parietal gyrus,+ 36 − 42 + 36,27,4e-05
lTVA,R superior temporal gyrus,+ 57 − 33 + 15,24,6e-05
lTVA,R frontal inferior orbital gyrus,+ 51 + 39 − 09,26,4e-05
lTVA,L frontal superior gyrus,− 15 + 06 + 69,17,0.000716
lTVA,R parietal superior gyrus,+ 15 − 78 + 48,13,0.00622
