ROIs,Contrast,Brain region,Cluster size,Peak t value,MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm)
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z
VSi_I,HFS > HC,I orbitofrontal cortex,107,4.681,9,30,−18
,HFS > HC,C orbitofrontal cortex,166,4.4424,−21,33,−18
,HFS > HC,B supplementary motor area,56,5.0717,3,−21,66
,HFS < HC,I supramarginal gyrus,71,-5.2399,54,−30,24
VSi_C,HFS > HC,I orbitofrontal cortex,94,4.6397,9,27,−24
,HFS > HC,C orbitofrontal cortex,58,4.0489,−12,36,−15
,HFS < HC,I superior occipital gyrus,71,-4.3179,33,−78,45
VSs_I,HFS > HC,"B supplementary motor area, paracentral lobe",76,4.534,−3,−21,66
VSs_C,HFS > HC,I superior occipital gyrus,59,4.629,21,−87,3
