Networks,Brain regions,MNI coordinate,MNI coordinate,MNI coordinate,BA,Cluster size,t score
Networks,Brain regions,x,y,z,BA,Cluster size,t score
lFPN,Left SFG,-30.0,60.0,21.0,10.0,44.0,5.77
lFPN,Left MFG,-48.0,9.0,42.0,8.0,88.0,6.53
lFPN,Left precuneus,-36.0,-78.0,36.0,19.0,34.0,4.65
lFPN,Right IFG,45.0,6.0,39.0,9.0,37.0,5.73
lFPN,Right MFG,3.0,24.0,48.0,8.0,28.0,5.28
lFPN,Left SFG,-24.0,15.0,54.0,8.0,31.0,7.79
,,,,,,,
rFPN,Right AG,42.0,-60.0,54.0,40.0,63.0,6.1
rFPN,Right MFG,30.0,9.0,60.0,6.0,38.0,5.19
,,,,,,,
SMN,Left IPL,-42.0,-30.0,42.0,40.0,36.0,4.27
SMN,Left PoCG,-36.0,-30.0,69.0,3.0,121.0,7.46
SMN,Right PoCG,48.0,-36.0,60.0,40.0,63.0,5.35
SMN,Right MFG,3.0,-27.0,63.0,6.0,57.0,4.94
,,,,,,,
VN,Right MOG,21.0,-99.0,0.0,18.0,752.0,8.5
