Name of the region,Abbreviation,Extent,MNI coordinates,MNI coordinates,MNI coordinates
Name of the region,Abbreviation,Extent,x,y,z
Left anterior cingulate cortex,L_ACC,171,-6,39,3
Left precuneus,L_PRECUN,168,-6,-54,18
Left superior medial gyrus,L_SMG,171,-9,54,6
Left superior prefrontal gyrus,L_SPFG,121,-21,60,9
Left temporal lobe,L_TPL,101,-39,18,-27
Right anterior cingulate cortex,R_ACC,171,6,39,3
Right precuneus,R_PRECUN,168,6,-54,18
Right superior medial gyrus,R_SMG,171,9,54,6
Right superior prefrontal gyrus,R_SPFG,140,-21,60,9
Right temporal lobe,R_TPL,98,-39,18,-27
