Seed,Contrast,Region of interest,"MNI coordinates (X, Y, Z)",Beta,Peak T-value,p-FDR,Cluster size (Voxels)*
Posterior cingulate cortex,CMI > Controls,Left globus pallidus,"(−26, −10, −02)",−0.19,−5.95,<0.001,198
Posterior cingulate cortex,,Left parahippocampal gyrus,"(−16, −36, −34)",−0.19,−5.51,<0.001,166
Posterior cingulate cortex,Controls > CMI,–,–,–,–,–,–
Posterior cerebellar pathway,CMI > Controls,–,–,–,–,–,–
Posterior cerebellar pathway,Controls > CMI,Right supramarginal gyrus,"(62, −40, 34)",0.29,4.66,<0.001,248
Crus I,CMI > Controls,Left superior frontal gyrus,"(−16, 12, 58)",−0.21,−5.33,<0.001,169
Crus I,Controls > CMI,–,–,–,–,–,–
Left lobule III,CMI > Controls,–,–,–,–,–,–
Left lobule III,Controls > CMI,Left inferior frontal gyrus,"(−48, 20, 10)",0.18,5.29,< 0.001,144
Left lobule III,,Right Crus 2,"(28, −74, −44)",0.19,5.20,< 0.001,149
Left lobule VIII,CMI > Controls,Left postcentral gyrus,"(−38, −34, 46)",−0.18,−6.20,< 0.001,617
Left lobule VIII,Controls > CMI,–,–,–,–,–,–
Vermis I and II,CMI > Controls,–,–,–,–,–,–
Vermis I and II,Controls > CMI,Left superior frontal gyrus,"(−18, 14, 48)",0.18,5.08,< 0.001,145
Vermis VII,CMI > Controls,–,–,–,–,–,–
Vermis VII,Controls > CMI,Right lingual gyrus,"(4, −72, −10)",0.28,5.32,<0.001,250
Vermis IX,CMI > Controls,Precuneus,"(0, −64, 46)",−0.25,−4.74,<0.001,272
Vermis IX,Controls > CMI,–,–,–,–,–,–
Frontoparietal attentional pathway,CMI > Controls,–,–,–,–,–,–
Frontoparietal attentional pathway,Controls > CMI,–,–,–,–,–,–
